"","GupDM_JM","GupDM_A13","GupDM_JI","GupDM_A7","GupDM_A2","GupDM_A_11","GupDM_JC","GupDM_JN","GupDM_JJ","GupDM_A1","GupDM_JE","GupDM_A12","GupDM_JL","GupDM_A14","GupDM_A3","GupDM_A10","GupDM_A_15","GupDM_JH","GupDM_JD","GupDM_A9","GupDM_A6","GupDM_JB","GupDM_JA","GupDM_HAK","GupDM_HAJ","GupDM_HAI","GupDM_HAH","GupDM_HAG","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HDF","GupDM_HDB","GupDM_HCY","GupDM_HCL","GupDM_HCU","GupDM_HCV","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HP","GupDM_HS","GupDM_HR","GupDM_HBR","CRC_MR_SBJ01C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ03H_17","CRC_MR_SBJ05C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ12C_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ17H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ26C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ29C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ33C_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ39C_17","CRC_MR_SBJ40C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ47C_17","CRC_MR_SBJ50C_17","CRC_MR_SBJ51C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ61C_17","CRC_MR_SBJ63H_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ69H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ77H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ81H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ84H_17"
"562",0.625603535956431,3.1605342781571,1.81062970764029,2.2581794326598,2.0500771295606,3.87952991630691,0.838109914511013,0.898015021055114,1.94134633841893,3.81653016724846,0.761053030557033,0.867433513255665,-1.22588580535773,2.27573700267734,0,4.14405174266509,4.66214761384471,0.283483217708471,2.18202694556892,-0.628741085695866,0,1.08435159480665,0,-0.652781210371758,0,-3.14559303966687,-1.84748074169232,0.470102016591271,1.83190964918715,2.88416882472265,-0.593630662045679,-1.23283027771054,-0.838598976065136,-3.69030542209972,2.11360794118992,-0.943613115502734,0,2.89882044465239,0,2.41563294370652,-2.09457043483194,-2.09187461172259,2.18451103123026,0,-1.05872525843533,1.16970190844861,0.673452541301733,0,-0.232995264034885,-0.718981038359867,-2.38045448462372,0,1.89084128508881,-0.311976011992205,-0.908971764487585,0,1.95282315269804,-0.987495753087848,-0.453310716377773,-4.54527563790528,-0.905129827818937,0,0.335244368200919,-2.29407537666898,-1.16950012017988,-1.54217924183615,0.983311134986373,-4.79708708408906,-0.836550931657663,-0.158802382380488,0,-5.95800325609332,1.23602596152822,-1.00540070753343,-0.804010008554811,-0.946749105908958,1.5978570068658,-0.784480052961569,-4.47154040601803,-1.20097072079599,1.2594558971021,-3.85735950676289,0,3.12564594895175,0.334531026030643,-1.29348657567009,0,-0.7732546036569,0.754423382415096,0,-0.346962833135738,-1.76943135120573,0,0,0,-1.09868931481417,-1.05315184768662,0
"28117",-1.78584312083644,0,-2.11526588332555,-2.18841984236873,-0.853646503080161,3.0666118979034,-0.841197874128943,-1.30945495749484,-1.74900923354379,0.119650795522,-1.39134704409885,0,0,0,0,0,0,0,-1.41245734420837,0,3.63178925697249,0,0,0,1.82974557320528,0,0,0,0,2.32504971077655,1.57184557958466,0,0,0,0,2.68178670282589,-1.89101999862762,1.89650887736781,0,0,-2.20348955902352,2.785810449353,0,0,0,-1.54312383557094,0,-5.22322450880282,0,0,0.250158073741919,-1.36534013536373,2.40707950398918,1.58087402935048,-2.94694644140267,-5.13471468349685,0.572458115939252,-4.60755264041117,-0.223739408209081,1.47517032859892,0,2.04287552742971,0,1.53330425981274,-4.38440908909696,0.391216229036844,1.6904336224997,2.31057092387319,2.14440291463236,-0.936681590840825,1.13858842537358,0.486470188532505,0.541507148130109,0.328997473294422,0,0.853385386570986,1.94191329695519,1.20934354935765,0,-0.438242339101976,-1.71056700006523,-0.258835060560108,1.27247199209443,0.634686610917122,1.27198279708223,0,-1.18274724496345,0,0.379994078013448,-4.18920786943934,0.212101488253102,1.16503441640172,2.0734501523225,1.79965961534961,0.0194741622098735,0,-0.834536307091034,1.08461636187916
"28123",0,0,0,0,1.8169038882872,4.07192421984526,0,0,0,0.972367169702054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.56423782889626,0,-3.29695744893825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"820",-0.0155216126102213,0,-0.265486813024892,-1.64030837772138,0.719195156348976,1.35875350683847,-1.28061797935774,0.0803517081619892,0.576706288703065,-0.560814379446003,0,-1.94771415485074,0,0.75407041781008,-0.207215943512161,0,0,0.742336287276874,0.00131096344736781,-2.62683575624687,1.68374532074978,0.15921751126032,0,0,-1.04161945165904,0,0,0,0,-1.66446742481798,1.2044591922993,0.120380504909728,0,0,0,2.58444123498909,-1.15177375833476,0.353550796092269,0,0,-2.06434721656907,2.83919884187423,-0.943345520925885,0,0,-4.07450836720236,0.747745155950782,-2.15241370915745,0,0,0,-1.27520101333838,-0.448172967271951,-0.343432433783491,-1.6984473956791,1.25414595803289,0.125812338582766,1.84762972221739,-0.569464588385486,0.779307968761805,-7.763075272478,1.56824524118243,0.0654954862497124,1.02058146217765,0.74346891907271,-0.508755993307856,-0.421283625621927,0.585314577945195,1.64925038505348,-0.302153529240344,0.702011135863737,1.08432054254586,-2.46701044098325,-1.58554618229723,1.81557163344885,-1.06625709753626,1.08174219901125,2.02612103163586,0.0467399594645822,0.140428659713011,1.44523554133764,-0.848878285916383,-1.00816527572543,0.994836127268962,2.47769579464722,-1.35096968972518,-0.780780864303693,0.207475116751252,1.10066954456234,2.10486735291833,0.361008661939646,0.844739853347067,-0.775573483530687,1.50148099392659,1.33655558117678,2.39784565765968,-1.48760728579904,1.10370555715323
"363265",0.194418695840308,0,-0.34927552299911,0,-0.77623490657065,1.42301701965585,0.282575993890327,0.100675413388402,2.71492626138119,-0.599594817168227,3.10840998698797,-3.56095182711325,-1.425959608006,0.747933363714919,0,0,0,-0.39037956518729,2.04005895019632,0,0,-3.59512739965538,0,1.42904362212161,0,0,0,0,0.992968076884423,1.06036873490898,0,2.02060871666342,0,1.46885529882523,0,0,0,0,-1.6723012044219,2.58335510153195,0,0,0,1.19164174243783,0,0,-2.4897259007819,0,0.301174840699621,-0.455179877409447,1.36087334185649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.00341237630289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.03233255706171,0.329570401692924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262924",2.38054317632053,0,1.77962663290239,0,-1.32652949010469,1.29056438708491,-4.24780862841197,2.43451667724109,-0.666025048308933,1.45043839783256,0.386307852655226,0,0,3.15691875858468,0,0,0,3.26585450523977,-1.69260956179494,0,0,2.53353383242888,0,0.377533835301922,0,-1.11135371618673,-1.33691489615181,0.356886802505042,-4.42909041386193,0,0,2.4314940049145,0,-2.65555259318539,-2.50024974157598,0,0,0,0,-0.0814660340428999,0,0,1.58188825592082,0.453114953958087,0,0.33597718583325,0,0,0,0.790274842612295,0,0,0,0,-0.418263021632395,0,0,-1.77368815935254,0,0,0,0,0,0,0,0,-0.190599395666764,-1.54680530496382,0,0,0,0,0,0,0,0,0,0,0,0,-0.94403245250878,-0.0844856435863854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262869",0,0.0732882213356532,0,0,0,0.267904327708908,0,0,0,-0.70904712198023,0,0,0.932058270583194,0,0,0.630100074227944,0,0,0,0,0,0,0.889826193614118,0,0.0330389857649342,0.800692978121355,0.261093282027658,0,0,0,0,0,0,-0.612492090709963,0,0,1.90350309094321,-0.885883379306433,0,0,0,0,0,0,0,0,-2.08673438948917,0,0,0,-0.652903399445435,1.90305289929581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.29270373922198,0,0,0,0,0,0,0,-0.554910452366418,0,0,0,0,-0.899883751103151,0,0,0,0,0,0,0
"204516",0,0,0,0,0,2.89977397955242,0,0,0,-0.180587018596746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.779919625980474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623120405715596,0.957814609417187,-0.403862226813259,-0.441169038609195,0.742918278577084,-0.822914950760478,0.301837505359363,0.684992273359539,0.749484050841904,0,2.27663949364332,0,1.98765389386566,0,-1.36966342829748,0.733172867257124,-0.260229376370095,0.11682247027709,-0.948753997761845,0,-0.403697658393567,-0.55762895578151,-0.660220861428908,0,-1.67581740986623,1.0563284786893,2.04511759873607,0,0,0,-2.27648765230008,0,0,-2.00078822069781,1.82356861840649,-0.0915316988821147,-1.07487308682029,0,0,0,-2.7978972837385,0,0,0,-1.29011969773125,-0.522921586829247,0
"28125",0,0,0,0,0,4.15230426964614,0,0,0,1.00558263629635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.60040194504489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43417778010012,0,-1.12330718079747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28118",3.29594955348175,0,2.89561917131164,-3.61595294211779,1.08899040012549,2.077130373326,3.85362917555702,3.31996281841232,3.11994364431928,-0.207786039060833,2.23359811657008,-0.212508598015007,0.627393220395874,0.935285664388672,2.05480341731522,0,0,0.136390836759418,3.41848687694089,0,1.54618623677713,0.184089180965179,0,-2.36371596644598,-1.18730291153743,0,-2.75179537934542,-1.5220459788096,0,0.563236370808148,-0.93383948099481,0,-3.56687067921691,0,0,0.940696981924292,-0.918676314525497,-1.49755617792769,0,0,-2.63896541492206,-0.970953616690347,0.386505021006678,0,0,0,-1.30957138384496,-2.46204719045616,0,-2.58239737290516,-1.08342537705124,-1.16304569823487,1.61550993106463,-0.0425049961909056,-1.81321105622113,-0.550442829171165,-1.1554730915809,0.759101591083435,-0.419661524220066,0.452349938420101,0.458856441703061,0,0.509696073539974,0.0796827780473313,0.43988884957753,-0.23191628188741,0.952375049490471,0.291470544668213,1.48246847989582,-1.24783289207803,-0.379707376049058,-0.0971997717039921,-1.57306083800114,0,0.258336342195724,0.273460555623253,1.14755197166987,-0.541273416747178,0.705698272815072,-0.366387261519609,0.644391192696324,-0.543430057764685,-0.272982751658364,0.409814963477855,-0.161476508928144,0.53025428202375,-2.45587433134908,1.11831705237402,-0.428333555979902,-1.32372807992534,-0.765069145079669,-0.322800885807911,0.600989222978332,0.195469842258828,-0.30958323909546,0.135469177708001,-0.0623241491348909,0.313680948499131
