"","GupDM_JM","GupDM_A13","GupDM_JI","GupDM_A7","GupDM_A2","GupDM_A_11","GupDM_JC","GupDM_JN","GupDM_JJ","GupDM_A1","GupDM_JE","GupDM_A12","GupDM_JL","GupDM_A14","GupDM_A3","GupDM_A10","GupDM_A_15","GupDM_JH","GupDM_JD","GupDM_A9","GupDM_A6","GupDM_JB","GupDM_JA","GupDM_HAK","GupDM_HAJ","GupDM_HAI","GupDM_HAH","GupDM_HAG","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HDF","GupDM_HDB","GupDM_HCY","GupDM_HCL","GupDM_HCU","GupDM_HCV","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HP","GupDM_HS","GupDM_HR","GupDM_HBR","CRC_MR_SBJ01C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ03H_17","CRC_MR_SBJ05C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ12C_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ17H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ26C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ29C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ33C_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ39C_17","CRC_MR_SBJ40C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ47C_17","CRC_MR_SBJ50C_17","CRC_MR_SBJ51C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ61C_17","CRC_MR_SBJ63H_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ69H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ77H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ81H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ84H_17"
"562",-5.25087817192401,-2.70692619577744,-4.10116168929039,-3.61477158088859,-3.86899740924005,-2.09421386742868,-5.04474789293829,-4.98663311513231,-3.96974387983238,-2.14322447852939,-5.11944388958723,-4.98020615107167,-7.00832707155813,-3.65008069998519,-14.2781318650325,-1.82984826829951,-1.33498320336002,-5.58263253600924,-3.73925139614634,-6.46776492835011,-14.2781318650325,-4.8057268469745,-14.2781318650325,-6.48935773514139,-14.2781318650325,-8.90940658609482,-7.65008518219075,-5.40175866972152,-4.07500792621391,-3.05954170174489,-6.43370399490776,-7.05203042956617,-6.67135176596805,-9.43784141555115,-3.80736527271391,-6.77322788168961,-14.2781318650325,-3.04561714886744,-14.2781318650325,-3.51377028550718,-7.88979152160865,-7.88717625734997,-3.7385807743461,-14.2781318650325,-6.88490014687157,-4.72303619062913,-5.2039798558804,-14.2781318650325,-6.08384540679821,-6.55530844896946,-8.16713235005524,-14.2781318650325,-2.47643311953922,-4.73105413473738,-5.35786022964163,-13.3585295479353,-2.41343666314372,-5.43910658216281,-4.89090360235051,-9.1024875495057,-5.35597556435505,-13.3585295479353,-4.0785278840473,-6.78471859459006,-5.62377013934905,-6.00919130823536,-3.41157825518589,-9.35998671864932,-5.28417916936004,-4.58134914696323,-13.3585295479353,-10.5562223659661,-3.15182999027102,-5.45902259492657,-5.25136186318185,-5.39674217279724,-2.77559696469833,-5.23121075127831,-9.02621834505567,-5.65582093757039,-3.12632336386771,-8.39432639225748,-13.3585295479353,-1.20629406583141,-4.06807095309451,-5.75436097842161,-13.3585295479353,-5.21844747657067,-3.64707218912958,-13.3585295479353,-4.78104721719527,-6.24509303096064,-13.3585295479353,-13.3585295479353,-13.3585295479353,-5.55490089777783,-5.50823008721318,-13.3585295479353
"28117",-5.28334055869879,-11.9782290398024,-5.59036357904048,-5.60838602747597,-4.41427689495894,-0.759414618020702,-4.40267130082687,-4.83922820749559,-5.24447423789608,-3.49523588396392,-4.91552018579164,-11.9782290398024,-11.9782290398024,-11.9782290398024,-11.9782290398024,-11.9782290398024,-11.9782290398024,-11.9782290398024,-4.93358557163051,-11.9782290398024,-0.232498992019385,-11.9782290398024,-11.9782290398024,-11.9782290398024,-1.91254678671148,-11.9782290398024,-11.9782290398024,-11.9782290398024,-11.9782290398024,-1.45049628681003,-2.15298758370814,-11.9782290398024,-11.9782290398024,-11.9782290398024,-11.9782290398024,-1.11818786095893,-5.38138321416555,-1.85030345325324,-11.9782290398024,-11.9782290398024,-5.67273779785799,-1.02120656604736,-11.9782290398024,-11.9782290398024,-11.9782290398024,-5.05705033283598,-11.9782290398024,-8.48804073453307,-11.9782290398024,-11.9782290398024,-3.38519856253216,-4.89132956921978,-4.08482194792078,-4.97023475467447,-9.9094701548261,-12.2873266966147,-6.08171882098445,-11.7166371849382,-6.94882686862012,-5.10009282525117,-16.4613704374524,-4.48228601600962,-16.4613704374524,-5.03622616484605,-11.4710312952706,-6.27712280025961,-4.86559761628381,-4.18939607615089,-4.37104664256519,-7.71772106074725,-5.42668169754963,-6.17536447958464,-6.11601281863173,-6.34729296426902,-16.4613704374524,-5.77474580309173,-4.58837263506089,-5.38904605008088,-16.4613704374524,-7.17728115908458,-8.56477689861194,-6.98658634226824,-5.32062977328658,-6.01407464836573,-5.30891969882402,-16.4613704374524,-7.99161389527091,-16.4613704374524,-6.29123366256432,-11.2632926881024,-6.47422283227864,-5.43731870296997,-4.44908264650205,-4.74648037417519,-6.68418474124059,-16.4613704374524,-7.61326558271075,-5.52504075955148
"28123",-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-6.71657260615367,-4.92531672583591,-13.9010022369848,-13.9010022369848,-13.9010022369848,-7.37751009662916,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.9010022369848,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-7.79311901059189,-13.8366397631066,-7.35955268683041,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066,-13.8366397631066
"820",-2.94249410366476,-10.8099301639802,-3.14086186576783,-4.18962430480597,-2.35921136380875,-1.85145556335845,-3.94689585111373,-2.86639998862497,-2.46846049822686,-3.36552416371413,-10.8099301639802,-4.4469757362987,-10.8099301639802,-2.33152316641951,-3.09470455578776,-10.8099301639802,-10.8099301639802,-2.34070180388638,-2.92772798912043,-5.01567985187746,-1.59343926432016,-2.80367423899334,-10.8099301639802,-10.8099301639802,-3.75715078567604,-10.8099301639802,-10.8099301639802,-10.8099301639802,-10.8099301639802,-4.25140340220477,-1.97395257313176,-2.83317009472421,-10.8099301639802,-10.8099301639802,-10.8099301639802,-0.878362253761705,-3.84457137543501,-2.64950254088642,-10.8099301639802,-10.8099301639802,-4.56911134817907,-0.676106195413611,-3.67912951001821,-10.8099301639802,-10.8099301639802,-6.1649875547857,-2.33613203033926,-4.63902869290182,-10.8099301639802,-10.8099301639802,-10.8099301639802,-3.94259499530938,-7.07935926945405,-6.88595626401752,-9.14289676279637,-4.2643687308647,-6.13296989819581,-3.28883586585694,-7.28219904548622,-5.05480095820539,-19.1591954426448,-3.75200256818951,-6.23271607362367,-4.65551022375433,-5.10756436294,-7.17796204993892,-7.03659112287931,-5.37237720199107,-3.6170777745926,-6.83056822682098,-5.12231452353265,-4.55056806903558,-10.4147794755351,-8.95955059443847,-3.34356036956607,-8.09911730958172,-4.54953666575812,-2.99585552001066,-6.26370643230943,-6.10266251642956,-3.95325257847177,-7.74288008451017,-8.00600614831649,-4.6982625231822,-2.2321118330483,-8.57034284054134,-7.63017603306614,-5.99658431232513,-4.52361196559495,-2.8668718623251,-5.74531731560248,-4.94646828058976,-7.62184801886217,-3.86159296774418,-4.13522947227239,-2.38255608365425,-8.79793998284353,-4.51925010633871
"363265",-6.79476914036802,-14.6979716308167,-7.22758380887009,-14.6979716308167,-7.56764101011111,-5.81655917208999,-6.72459797795033,-6.86943047724714,-4.78403270168539,-7.41706081372636,-4.47457305283031,-9.75525604130945,-8.05316877257861,-6.3540721167188,-14.6979716308167,-14.6979716308167,-14.6979716308167,-7.26027857886666,-5.32383241541274,-14.6979716308167,-14.6979716308167,-9.81197838828322,-14.6979716308167,-5.81034168052427,-14.6979716308167,-14.6979716308167,-14.6979716308167,-14.6979716308167,-6.15434452508796,-6.10506868404924,-14.6979716308167,-5.33929230101167,-14.6979716308167,-5.78006227205334,-14.6979716308167,-14.6979716308167,-14.6979716308167,-14.6979716308167,-8.28110433653894,-4.89218976035563,-14.6979716308167,-14.6979716308167,-14.6979716308167,-6.00045727364186,-14.6979716308167,-14.6979716308167,-8.93153750102249,-14.6979716308167,-6.70978925937311,-7.31201168740876,-5.86603918593516,-14.6979716308167,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-5.87807452385041,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,0.50101930177502,4.29408478408322,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878,-11.8722047212878
"1262924",-4.61570249966054,-14.613888982852,-5.12708358726559,-14.613888982852,-7.77100404258166,-5.54346158345853,-10.2574543913864,-4.56978570351674,-7.20466046503862,-5.39676273921119,-6.31306975596452,-14.613888982852,-14.613888982852,-3.95491174654597,-14.613888982852,-14.613888982852,-14.613888982852,-3.862043783859,-8.08106756672792,-14.613888982852,-14.613888982852,-4.48538609590092,-14.613888982852,-6.31907167521648,-14.613888982852,-7.5878572759572,-7.77984359286559,-6.33816258718384,-10.4068061661534,-14.613888982852,-14.613888982852,-4.57080351445883,-14.613888982852,-8.90220392352132,-8.77001755278906,-14.613888982852,-14.613888982852,-14.613888982852,-14.613888982852,-6.71074468084055,-14.613888982852,-14.613888982852,-5.29550093793333,-6.25590824601805,-14.613888982852,-6.35593472210057,-14.613888982852,-14.613888982852,-14.613888982852,-5.96928377401494,-14.613888982852,-14.613888982852,-12.4894019046502,-12.4894019046502,-0.923666459154848,-12.4894019046502,-12.4894019046502,-2.67576725996637,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-0.631303585672587,-2.3821051182386,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-1.60366532895131,-0.494419271256458,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502,-12.4894019046502
"1262869",-14.2820509995891,-5.59604749042281,-14.2820509995891,-14.2820509995891,-14.2820509995891,-5.50751967361371,-14.2820509995891,-14.2820509995891,-14.2820509995891,-6.30395177856671,-14.2820509995891,-14.2820509995891,-4.92610702516607,-14.2820509995891,-14.2820509995891,-5.20183374998473,-14.2820509995891,-14.2820509995891,-14.2820509995891,-14.2820509995891,-14.2820509995891,-14.2820509995891,-4.96294003365634,-14.2820509995891,-5.70146444164651,-5.06755908691508,-5.51314403122977,-14.2820509995891,-14.2820509995891,-14.2820509995891,-14.2820509995891,-14.2820509995891,-14.2820509995891,-6.23452500914676,-14.2820509995891,-14.2820509995891,-4.15685715867978,-6.46028318539028,-14.2820509995891,-14.2820509995891,-14.2820509995891,-14.2820509995891,-14.2820509995891,-14.2820509995891,-14.2820509995891,-14.2820509995891,-7.45148023882299,-14.2820509995891,-14.2820509995891,-14.2820509995891,-6.26789529292206,-4.15726293589871,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-0.208969653739803,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,0.833807036039527,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,0.345421077462857,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623,-13.0094449268623
"204516",-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,0.90530262944552,-12.2780888647996,-12.2780888647996,-12.2780888647996,-2.95067432003129,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-1.75906055411687,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-12.2780888647996,-1.9561910621507,-7.96096719632599,-9.09458574867798,-9.13597921537049,-8.13928512075778,-9.45773212572908,-8.51207309444275,-8.19149729008319,-8.13705248474637,-15.1432651742625,-6.85387149169711,-15.1432651742625,-7.0963061810296,-15.1432651742625,-9.91571349349097,-8.15053189962532,-8.98399841407304,-8.66787716895556,-9.55888170971086,-15.1432651742625,-9.10559040101034,-9.23532611037767,-9.32157590987628,-15.1432651742625,-10.1732878232488,-7.87623355769239,-7.04830043961119,-15.1432651742625,-15.1432651742625,-15.1432651742625,-10.6793073442759,-15.1432651742625,-15.1432651742625,-10.4382892072518,-7.2338054371436,-8.84344103599383,-9.66862692783262,-15.1432651742625,-15.1432651742625,-15.1432651742625,-11.1172916632899,-15.1432651742625,-15.1432651742625,-15.1432651742625,-9.85067803137194,-9.20626789688233,-15.1432651742625
"28125",-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-4.91990095615129,-13.8423162404865,-13.8423162404865,-13.8423162404865,-7.65424597472801,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.8423162404865,-13.9641979263554,-13.9641979263554,-13.9641979263554,-8.47289423679958,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-9.49981932905048,-13.9641979263554,-7.89224207431659,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554,-13.9641979263554
"28118",-2.6204030889793,-11.9227472770988,-2.9471232899874,-8.21885115699756,-4.42205660443062,-3.61539707095518,-2.16516786062579,-2.60082194576865,-2.76012090596232,-5.47048136200351,-3.4876172429804,-5.45415132084851,-4.76627977171327,-4.54753197477607,-3.63362381521395,-11.9227472770988,-11.9227472770988,-5.19956171031717,-2.51892873119521,-11.9227472770988,-4.04882873155568,-5.16064921611033,-11.9227472770988,-7.23918875558242,-6.28028899117638,-11.9227472770988,-7.55744890620367,-6.5535538481816,-11.9227472770988,-4.85100814144377,-6.07337655348348,-11.9227472770988,-8.2228286698399,-11.9227472770988,-11.9227472770988,-4.543114818975,-6.06096435462022,-6.53356172909318,-11.9227472770988,-11.9227472770988,-7.46534146569078,-6.10367443927235,-4.99552447696077,-11.9227472770988,-11.9227472770988,-11.9227472770988,-6.379677112947,-7.32091571939223,-11.9227472770988,-7.41916246984764,-6.19548962626062,-6.26048682458385,-4.30659594959039,-6.73542282410484,-9.36652940391506,-7.49948895205504,-8.39754535464571,-5.57055870467471,-7.31269081278429,-6.02519753669539,-6.01606662066933,-18.6473712942013,-5.9400021617772,-6.57439341876334,-6.03786050112444,-7.03201084166426,-5.28679672385607,-6.26021784398694,-4.50354739736563,-8.52582354435635,-7.1995303908947,-6.83572390684055,-9.0147196096365,-18.6473712942013,-6.31126191574095,-6.28672759032164,-4.99381999361777,-7.49136650336262,-5.65073662969016,-7.22738334105916,-5.73990480023339,-7.49478999627717,-7.09574806112658,-6.0873583012574,-6.91456415806665,-5.90874578178224,-10.3171959809447,-5.04018052441963,-7.32448978889039,-8.64714196319764,-7.82192987585891,-7.16900246318987,-5.80569585351795,-6.40356138152301,-7.15018370712093,-6.49292520233993,-6.78514467655102,-6.22990409040006
