"","GupDM_JM","GupDM_A13","GupDM_JI","GupDM_A7","GupDM_A2","GupDM_A_11","GupDM_JC","GupDM_JN","GupDM_JJ","GupDM_A1","GupDM_JE","GupDM_A12","GupDM_JL","GupDM_A14","GupDM_A3","GupDM_A10","GupDM_A_15","GupDM_JH","GupDM_JD","GupDM_A9","GupDM_A6","GupDM_JB","GupDM_JA","GupDM_HAK","GupDM_HAJ","GupDM_HAI","GupDM_HAH","GupDM_HAG","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HDF","GupDM_HDB","GupDM_HCY","GupDM_HCL","GupDM_HCU","GupDM_HCV","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HP","GupDM_HS","GupDM_HR","GupDM_HBR","CRC_MR_SBJ01C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ03H_17","CRC_MR_SBJ05C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ12C_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ17H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ26C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ29C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ33C_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ39C_17","CRC_MR_SBJ40C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ47C_17","CRC_MR_SBJ50C_17","CRC_MR_SBJ51C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ61C_17","CRC_MR_SBJ63H_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ69H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ77H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ81H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ84H_17"
"562",8.47019051531798,12.0918499622651,10.1474867441405,10.9398730674202,10.1134471341696,12.84077740356,8.51839427645221,8.88396803316998,10.3804753829579,13.6929670668966,7.98333673385684,9.09069911511507,6.07980718692153,10.0103184500788,0,13.5796710504851,16.1679088311831,7.79276615229959,10.3785130376499,7.69660540513739,0,9.28986485298108,0,7.34657154475488,0,4.92720916633375,7.08431931782495,9.23805160345603,10.2997316750952,11.7154835438481,7.35022749964218,6.19797488718386,7.48810547601827,4.17699286419959,10.9199705760893,8.28322135909885,0,11.8389435415599,0,14.0926895546143,6.69523755883625,4.88126237012787,10.307666602973,0,7.16917953705026,10.7173069395463,7.55469279119314,0,7.6492726654991,7.85322010629429,5.71085357084311,0,10.7905980829374,7.29288885218892,8.26800965508017,0,11.9542917561168,7.8894501199995,7.99329264857437,2.10371050048367,9.97137717345642,0,9.73892448415924,5.32826298878872,7.16024127108176,7.046145573361,9.76239124563852,1.37665210215962,6.97856161282302,8.78794710907865,0,1.3742743148026,10.0135826509509,5.47205501498193,8.38091624596781,7.49684890411474,10.6926218579094,7.88569529800089,1.89486946906968,6.80327824120243,9.37020023396245,3.01462853147467,0,13.3731684718924,9.2365718217324,7.50654266482193,0,7.18404606401523,9.63533294920074,0,8.80370503506327,6.14311940136544,0,0,0,8.18343999738643,6.96846245692262,0
"28117",5.43515257783742,0,4.9442637669235,4.98463546496216,6.35497207813746,12.082402314654,6.52179387874831,6.13121727397707,5.50181260836257,8.77696287614793,5.32314391823862,0,0,0,0,0,0,0,5.63528763503085,0,12.8153295171187,0,0,0,10.7002192532423,0,0,0,0,11.3232609172979,10.8805275704792,0,0,0,0,13.9233037708901,5.8179007753964,10.8076065733204,0,0,6.95010745755647,12.2830440910723,0,0,0,7.22661614729315,0,3.19638785111405,0,0,9.89401308277554,7.01764932723476,11.9492042524704,10.4297925433895,5.76421921196387,2.57974244432045,10.3778486929967,3.23677847528434,8.73648918618824,10.8223962246644,0,10.2729544331093,0,11.2285238461796,3.10457410661855,10.2399630365417,11.1957881197871,11.3440686755212,11.682404249481,8.08205249487572,9.79542086594955,10.3839515786021,9.42658711758864,7.78514710212033,0,10.5011619958858,11.6028637665421,11.1709691187969,0,8.30952306976572,5.5290500583268,8.4340934601825,12.0050540428926,10.1948508961706,11.001620748705,0,7.43770364130326,0,9.50959274041397,3.17459513410235,10.0227015087047,10.7712070182181,11.3867930004986,11.264750965216,9.19752535830359,0,7.6935593688813,9.62173838164219
"28123",0,0,0,0,7.6878437141265,11.0239235663298,0,0,0,7.50265895632265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78172133744032,0,1.96464995146255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"820",9.34020965187033,0,8.95074330904015,7.12201730202685,9.99031997451928,11.0013865656902,7.264006650848,9.50007949011203,10.2086664604421,9.17699297270084,0,6.83614682247762,0,9.61227607653053,8.07362772586715,0,0,10.2462322597153,9.03089497084135,6.61856367377458,11.3877663820486,9.75136015443293,0,0,7.9452450569189,0,0,0,0,6.96119805853144,11.7326914199541,9.92875318033615,0,0,0,15.1653421931619,8.24589557480324,9.96475973565173,0,0,8.52558437735683,13.7424148798505,7.598262599464,0,0,4.99348157706933,9.45305389819035,8.84565155447192,0,0,0,8.52297455156192,9.2145430827393,9.03783815050629,8.92413585057294,12.9155579104135,11.1155725919414,13.7704911455524,9.61869489430839,11.2008269850392,2.22110390244187,10.9702923059974,11.145520274126,11.8711368692631,11.7071956707376,10.3240418320313,9.53308939044958,10.2382216056668,12.3504192723269,10.3757672596491,10.5474447100626,12.6281469971767,6.48286850032719,6.41601576251571,13.9527438985119,9.1158420848746,11.744387686833,13.7313420235291,9.7599932675663,10.5233267494832,11.4333771987266,8.96408733203065,10.0982874816146,12.0960668231524,14.1230058014832,9.21489975983941,9.39395081844845,10.3868759842171,11.9302286193284,13.4683430963247,11.6191321559576,11.6912620880351,8.66207957311344,12.2168186465422,12.4779976362407,15.0197594113788,8.13207458818352,11.0306675174657
"363265",9.36366909068597,0,8.5514092807409,0,7.55973385501204,10.8148119812848,9.23281734365952,9.25039297383645,13.013036228419,8.84231222554959,12.8817649258066,4.29224976277455,7.29631026517742,9.32444531247322,0,0,0,8.33596764279551,11.6904780026153,0,0,4.1382719849723,0,11.8589359625239,0,0,0,0,10.6066044386149,10.602224589056,0,12.3896064739709,0,13.0556395065906,0,0,0,0,8.1283628982463,15.8520323710489,0,0,0,10.6622820411543,0,0,4.56327700769362,0,9.93161992604552,9.74666152476601,12.598299489118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41580191187252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15676484677037,10.383034048711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262924",11.9885818965387,0,11.0924145771321,0,6.25007821442491,10.0970782629486,2.45727808631489,12.0882131949583,7.61539440961752,11.2701609848758,8.43143384253904,0,0,12.2707549223955,0,0,0,13.0793318028488,5.80383671977406,0,0,12.3688264190781,0,9.81597938305481,0,8.807273657129,8.8037390390724,10.0639413377854,2.53034983662785,0,0,12.4552150716326,0,6.59306744075427,5.29044584260376,0,0,0,0,11.4808269947303,0,0,10.4284416937362,9.07144509151745,0,10.5048998920848,0,0,0,11.0153281106491,0,0,0,0,9.96297870268685,0,0,7.74612004811685,0,0,0,0,0,0,0,0,9.06010704070776,6.37200628765745,0,0,0,0,0,0,0,0,0,0,0,0,7.18924377466548,9.25979040662231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262869",0,10.060162467832,0,0,0,10.0527110231458,0,0,0,9.58695299572716,0,0,11.5932868259463,0,0,10.9319768451347,0,0,0,0,0,0,11.3959468748696,0,10.1155171995574,12.9937049305332,12.5371664374966,0,0,0,0,0,0,10.9572628614133,0,0,13.2735459128437,8.80285585546997,0,0,0,0,0,0,0,0,6.00871871020326,0,0,0,10.5975490619932,13.7288367923509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5695160020506,0,0,0,0,0,0,0,10.9860841899047,0,0,0,0,10.4250720551226,0,0,0,0,0,0,0
"204516",0,0,0,0,0,9.85534143396874,0,0,0,6.37047162187708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66498387133094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89370325732657,7.87655390141795,5.60768098797903,7.37363576145973,8.8109193650516,6.39334162950868,8.17515890250704,8.06194402330322,7.79358211079598,0,8.62510635159959,0,9.89733377309061,0,5.73805350991021,7.83288887671879,5.67554924253448,6.78236092673488,6.09300276273653,0,7.12143903518639,5.87595824115922,4.43228099437127,0,4.91242671585363,8.34163490096367,10.3895959494189,0,0,0,3.65113188570411,0,0,4.36355858391139,10.4232894980451,7.02716248323069,5.20528297202368,0,0,0,3.22828263391594,0,0,0,6.34681954805626,6.16874258925287,0
"28125",0,0,0,0,0,9.47837357295249,0,0,0,5.90405242452679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3874567243449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66573034488312,0,3.6087181017178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28118",11.4816250584381,0,10.8748005002537,2.03169201048901,7.89417523473522,9.40490649344876,12.0277835530048,11.5380372156625,11.2428534691216,7.06035589816072,9.26691053486799,6.70641365789766,7.90059447195303,7.2470935890563,8.70083331951955,0,0,6.7500109552257,11.324335069138,0,8.55829957863724,7.16137650102695,0,4.11744153813792,5.13650642336731,0,4.9780255247518,5.55512259013774,0,7.53695486498365,6.03521781846608,0,2.91213736813847,0,0,10.1608373880378,5.96637930080315,4.71445357131337,0,0,5.10102055448448,5.64033517808554,6.88730093887946,0,0,0,3.94543082991238,5.78785308402995,0,4.39156197297891,6.7304201098575,6.06821143845736,9.55698961186338,6.84751485827604,6.14186625765323,7.68462479626715,6.64658546100992,9.56757164497334,7.20846186995356,8.09947820763866,11.1009214263518,0,9.15395937646708,7.88513267532129,8.6381116824493,8.09329885894511,8.88166855600345,7.18871778475669,9.47724843802744,6.39331541092022,6.36914524462459,8.29364594369338,5.16288324269698,0,9.0744112094112,8.41596884571618,9.20704901387916,7.40152222461411,8.08004090344493,7.16693527648829,7.65037549451475,6.78074069728316,8.52722603429443,8.62109421214113,7.68811205146206,9.29449705502362,4.41034492035231,9.06825064142724,7.10022219271443,5.91166034413017,7.36853861981451,7.38079823852325,8.0157543474562,7.70496599420987,7.47668625028535,9.12407985699102,7.55655103239478,7.2653167863325
"281920",0,0,0,0,4.61948827126568,9.24982015484398,0,0,7.95089041680869,5.68633751298714,0,0,0,0,0,0,0,0,5.8731321592505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290241977980469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262803",0,0,0,0,12.5474405854818,9.1575294024439,0,0,0,5.59132617690782,7.82880391473394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06669144782666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1792573552623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33033",0,0,4.71138824259508,0,10.9066507871947,8.74561396505318,0,0,0,4.81473748061735,0,0,0,0,0,0,0,0,0,0,0,6.18397778469696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95963786937962,3.94368518850746,0,0,0,7.65410632762257,3.80329439859302,0.947899438167716,0,0,3.61026019460227,1.44492300598669,0,0,6.37397974850006,0,0,0,7.50820636559911,7.71668570544375,0,0,5.50224165466204,4.59944419810438,1.42423444237156,0,0,0,2.88573569222142,0,0,0,0,0,0,0,0,0,0,0,0
"817",11.3979679483306,0,10.4302031800806,0,7.90220935139347,8.72805145157519,11.8054181071423,11.4153224539207,10.7382595761815,10.1106470146748,0,7.11112377773288,8.31774704535836,7.01153408313429,0,6.38400155668329,5.95054855757969,7.62218625419405,10.8498028941993,3.25974982500778,0,5.77250503346447,0,0,11.9303737214428,0,8.63980853055573,0,0,3.10892404019344,0,0,6.99966416957745,0,0,3.88355953176527,0,12.1170277545562,0,0,0,0,0,0,0,0,9.28537888213178,0,0,0,0,0,5.64473433844884,5.92311902315018,0,0,0,12.0365444017895,0,0,0,0,11.558237991046,0,3.56410913557298,7.0357265635481,2.04537612444492,0,2.57647467314197,0,8.60654103958491,0,0,0,0,0,9.66746283110785,6.35977879047944,4.20562132821639,8.25978274656533,4.61705877566429,0,5.04147910487944,9.20917081390321,0,7.8043547514747,0,0,0,4.87753347588142,0,0,8.71153476715812,8.75455194211153,9.01763024837659,0,0,0
"1261",0,0,0,0,0,8.5792050025445,0,0,0,4.80782584089319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37982204662338,0,0,0,0,0,0,6.7941039342132,0,0,0,0,0,0,2.63508232081672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"329854",6.92662711630673,0,6.55216729550724,0,2.89272420250605,8.20181927483283,7.44976702857045,6.89024587739258,10.6857395240107,4.66612778246792,8.70896818833473,0,0,0,8.90637668760482,0,0,0,9.56252410222809,0,5.25083589154602,0,0,0,0,0,0,0,0,0,0,1.56504112706636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82480953587847,0,0,0,0,0,0,0,0,0,0,5.7653188744454,0,1.19576243982529,0,0,0,0,0,0,0,5.21980754842311,0,0,7.81540793273019,0,0,7.45036983926239,0,0,0,0,0,0,0,0,0,0,0,0.438068474093991,0,0,0,0,1.11803644847802,4.45741226484063
