"","GupDM_JM","GupDM_A13","GupDM_JI","GupDM_A7","GupDM_A2","GupDM_A_11","GupDM_JC","GupDM_JN","GupDM_JJ","GupDM_A1","GupDM_JE","GupDM_A12","GupDM_JL","GupDM_A14","GupDM_A3","GupDM_A10","GupDM_A_15","GupDM_JH","GupDM_JD","GupDM_A9","GupDM_A6","GupDM_JB","GupDM_JA","GupDM_HAK","GupDM_HAJ","GupDM_HAI","GupDM_HAH","GupDM_HAG","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HDF","GupDM_HDB","GupDM_HCY","GupDM_HCL","GupDM_HCU","GupDM_HCV","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HP","GupDM_HS","GupDM_HR","GupDM_HBR","CRC_MR_SBJ01C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ03H_17","CRC_MR_SBJ05C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ12C_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ17H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ26C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ29C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ33C_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ39C_17","CRC_MR_SBJ40C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ47C_17","CRC_MR_SBJ50C_17","CRC_MR_SBJ51C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ61C_17","CRC_MR_SBJ63H_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ69H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ77H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ81H_17","CRC_MR_SBJ83H_17"
"562",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,NA,Inf,Inf,Inf,NA,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,NA,Inf,Inf,NA,Inf,Inf,NA,NA,NA,Inf,Inf
"28117",-2.8704594827156,-Inf,-3.19988224520471,-3.27303620424789,-1.93826286495932,1.98199553602424,-1.9258142360081,-2.394071319374,-2.83362559542295,-0.964965566357159,-2.47596340597801,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-2.49707370608753,-Inf,2.54717289509333,-Inf,-Inf,-Inf,0.745129211326118,-Inf,-Inf,-Inf,-Inf,1.24043334889739,0.487229217705496,-Inf,-Inf,-Inf,-Inf,1.59717034094673,-2.97563636050678,0.811892515488655,-Inf,-Inf,-3.28810592090268,1.70119408747384,-Inf,-Inf,-Inf,-2.6277401974501,-Inf,-6.30784087068198,-Inf,-Inf,-0.83445828813724,-2.44995649724289,1.32246314211002,0.49625766747132,-4.03156280328183,-6.21933104537601,-0.512158245939907,-5.69216900229033,-1.30835577008824,0.390553966719759,-Inf,0.958259165550552,-Inf,0.448687897933582,-5.46902545097612,-0.693400132842314,0.605817260620538,1.22595456199403,1.0597865527532,-2.02129795271998,0.0539720634944212,-0.598146173346654,-0.54310921374905,-0.755618888584737,-Inf,-0.231230975308173,0.85729693507603,0.124727187478492,-Inf,-1.52285870098114,-2.79518336194439,-1.34345142243927,0.187855630215271,-0.449929750962037,0.187366435203069,-Inf,-2.26736360684261,-Inf,-0.704622283865711,-5.2738242313185,-0.872514873626057,0.0804180545225623,0.988833790443342,0.715043253470454,-1.06514219966929,-Inf,-1.91915266897019
"28123",NA,NA,NA,NA,Inf,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"820",-1.11922716976345,-Inf,-1.36919237017812,-2.74401393487462,-0.384510400804255,0.255047949685238,-2.38432353651097,-1.02335384899124,-0.526999268450166,-1.66451993659923,-Inf,-3.05141971200397,-Inf,-0.34963513934315,-1.31092150066539,-Inf,-Inf,-0.361369269876357,-1.10239459370586,-3.7305413134001,0.580039763596552,-0.944488045892911,-Inf,-Inf,-2.14532500881227,-Inf,-Inf,-Inf,-Inf,-2.76817298197121,0.100753635146072,-0.983325052243503,-Inf,-Inf,-Inf,1.48073567783586,-2.255479315488,-0.750154761060962,-Inf,-Inf,-3.1680527737223,1.735493284721,-2.04705107807912,-Inf,-Inf,-5.17821392435559,-0.355960401202449,-3.25611926631068,-Inf,-Inf,-Inf,-2.37890657049161,-1.55187852442518,-1.44713799093672,-2.80215295283233,0.150440400879661,-0.977893218570465,0.743924165064161,-1.67317014553872,-0.324397588391427,-8.86678082963123,0.464539684029199,-1.03821007090352,-0.0831240949755792,-0.360236638080521,-1.61246155046109,-1.52498918277516,-0.518390979208036,0.545544827900246,-1.40585908639357,-0.401694421289494,-0.019385014607372,-3.57071599813648,-2.68925173945046,0.71186607629562,-2.16996265468949,-0.021963358141976,0.922415474482627,-1.05696559768865,-0.963276897440219,0.341529984184413,-1.95258384306961,-2.11187083287866,-0.108869429884269,1.37399023749399,-2.45467524687841,-1.88448642145692,-0.896230440401979,-0.00303601259089348,1.00116179576509,-0.742696895213585,-0.258965703806164,-1.87927904068392,0.397775436773356,0.232850024023545,1.29414010050645,-2.59131284295227
"363265",Inf,NA,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,NA,NA,Inf,Inf,NA,NA,Inf,NA,Inf,NA,NA,NA,NA,Inf,Inf,NA,Inf,NA,Inf,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,Inf,NA,NA,Inf,NA,Inf,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262924",Inf,NA,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,NA,Inf,NA,NA,NA,Inf,Inf,NA,NA,Inf,NA,Inf,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,NA,Inf,Inf,NA,NA,NA,NA,Inf,NA,NA,Inf,Inf,NA,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,Inf,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262869",NA,Inf,NA,NA,NA,Inf,NA,NA,NA,Inf,NA,NA,Inf,NA,NA,Inf,NA,NA,NA,NA,NA,NA,Inf,NA,Inf,Inf,Inf,NA,NA,NA,NA,NA,NA,Inf,NA,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA
"204516",NA,NA,NA,NA,NA,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,Inf,NA,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,NA,Inf,Inf,Inf,NA,NA,NA,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,NA,Inf,NA,NA,NA,Inf,Inf
"28125",NA,NA,NA,NA,NA,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28118",2.98226860498262,-Inf,2.58193822281251,-3.92963389061692,0.775309451626357,1.76344942482686,3.53994822705789,3.00628186991319,2.80626269582015,-0.521466987559964,1.91991716807095,-0.526189546514138,0.313712271896744,0.621604715889541,1.74112246881609,-Inf,-Inf,-0.177290111739713,3.10480592844176,-Inf,1.232505288278,-0.129591767533952,-Inf,-2.67739691494511,-1.50098386003656,-Inf,-3.06547632784455,-1.83572692730873,-Inf,0.249555422309018,-1.24752042949394,-Inf,-3.88055162771604,-Inf,-Inf,0.627016033425161,-1.23235726302463,-1.81123712642682,-Inf,-Inf,-2.9526463634212,-1.28463456518948,0.0728240725075473,-Inf,-Inf,-Inf,-1.62325233234409,-2.77572813895529,-Inf,-2.89607832140429,-1.39710632555037,-1.476726646734,1.3018289825655,-0.356185944690036,-2.12689200472026,-0.864123777670295,-1.46915404008003,0.445420642584304,-0.733342472719197,0.138668989920971,0.145175493203931,-Inf,0.196015125040844,-0.233998170451799,0.1262079010784,-0.54559723038654,0.638694100991341,-0.0222104038309174,1.16878753139669,-1.56151384057716,-0.693388324548188,-0.410880720203123,-1.88674178650027,-Inf,-0.0553446063034064,-0.0402203928758773,0.83387102317074,-0.854954365246308,0.392017324315942,-0.68006821001874,0.330710244197194,-0.857111006263816,-0.586663700157495,0.0961340149787242,-0.475157457427275,0.21657333352462,-2.76955527984821,0.804636103874889,-0.742014504479032,-1.63740902842447,-1.0787500935788,-0.636481834307041,0.287308274479201,-0.118211106240302,-0.623264187594591,-0.17821177079113,-0.376005097634022
