"","GupDM_JM","GupDM_A13","GupDM_JI","GupDM_A7","GupDM_A2","GupDM_A_11","GupDM_JC","GupDM_JN","GupDM_JJ","GupDM_A1","GupDM_JE","GupDM_A12","GupDM_JL","GupDM_A14","GupDM_A3","GupDM_A10","GupDM_A_15","GupDM_JH","GupDM_JD","GupDM_A9","GupDM_A6","GupDM_JB","GupDM_JA","GupDM_HAK","GupDM_HAJ","GupDM_HAI","GupDM_HAH","GupDM_HAG","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HDF","GupDM_HDB","GupDM_HCY","GupDM_HCL","GupDM_HCU","GupDM_HCV","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HP","GupDM_HS","GupDM_HR","GupDM_HBR","CRC_MR_SBJ01C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ03H_17","CRC_MR_SBJ05C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ12C_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ17H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ26C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ29C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ33C_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ39C_17","CRC_MR_SBJ40C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ47C_17","CRC_MR_SBJ50C_17","CRC_MR_SBJ51C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ61C_17","CRC_MR_SBJ63H_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ69H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ77H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ81H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ84H_17"
"562",-5.41780584680406,-2.79549167582627,-4.23267426677176,-3.7313017228539,-3.993358553551,-2.16390576680469,-5.2053260686006,-5.14542116205646,-4.09720835102652,-2.21442606798284,-5.28232295076051,-5.13879622609439,-7.22939002665194,-3.7676984804342,-14.7231290236619,-1.8913968266141,-1.38128826926691,-5.75977935038497,-3.85961593106688,-6.67217676880747,-14.7231290236619,-4.95894237823622,-14.7231290236619,-6.69443470597409,-14.7231290236619,-9.18902912277847,-7.89091642480392,-5.57333396652034,-4.2057148806737,-3.15896891394834,-6.6370666451573,-7.27443959366358,-6.88203475917675,-9.73374150521132,-3.9298279419217,-6.98704899861436,-14.7231290236619,-3.14461543845923,-14.7231290236619,-3.62718925113697,-8.13800651794354,-8.13531069483419,-3.85892465188134,-14.7231290236619,-7.10216114154695,-4.87370457423082,-5.36946290640687,-14.7231290236619,-6.2764312471465,-6.76241692147149,-8.42389036773534,-14.7231290236619,-2.50094076251854,-4.69135889733366,-5.30031598060216,-13.07315720195,-2.43973820138404,-5.37924875145382,-4.84665647077954,-8.93831080734403,-5.29848498328866,-13.07315720195,-4.05741406877061,-6.68654294173114,-5.5586538052405,-5.93309967094446,-3.40945658402329,-9.18847739675749,-5.22873307174729,-4.54591692820346,-13.07315720195,-10.3506488826667,-3.15710494438141,-5.39859763325564,-5.19685027543522,-5.3380907165027,-2.79158557923065,-5.17727298920722,-8.86421345464967,-5.5897919207757,-3.13232464797898,-8.2503153390361,-13.07315720195,-1.26697035320167,-4.04725491073957,-5.68552592264607,-13.07315720195,-5.16487316316515,-3.63824456216775,-13.07315720195,-4.73992837029294,-6.16228382562429,-13.07315720195,-13.07315720195,-13.07315720195,-5.49174569312247,-5.44640388661121,-13.07315720195
"28117",-4.86763850373345,-12.0486731975171,-5.19695585787412,-5.21628699801895,-3.93546818632829,-0.0152097853447257,-3.92301985737708,-4.39127714074294,-4.82594992312577,-2.94969143984582,-4.47310902555292,-12.0486731975171,-12.0486731975171,-12.0486731975171,-12.0486731975171,-12.0486731975171,-12.0486731975171,-12.0486731975171,-4.49248622098069,-12.0486731975171,0.54996757372436,-12.0486731975171,-12.0486731975171,-12.0486731975171,-1.25207611004285,-12.0486731975171,-12.0486731975171,-12.0486731975171,-12.0486731975171,-0.756474028030954,-1.50997640366348,-12.0486731975171,-12.0486731975171,-12.0486731975171,-12.0486731975171,-0.400035180422251,-4.97280048101876,-1.18531300588033,-12.0486731975171,-12.0486731975171,-5.28531164227165,-0.296011633895124,-12.0486731975171,-12.0486731975171,-12.0486731975171,-4.6249163183869,-12.0486731975171,-8.30504649205096,-12.0486731975171,-12.0486731975171,-2.83166380950623,-4.44716181861186,-4.37200019604436,-5.18580650841717,-9.72558830994344,-11.911139104854,-6.20740089056902,-11.3866032912033,-7.00438281503704,-5.30516249326603,-15.7476130280949,-4.73731992610114,-15.7476130280949,-5.24646095767562,-11.1608604265838,-6.38700185249766,-5.08963174893616,-4.46811704122143,-4.63507687788346,-7.71109378908999,-5.60533895762244,-6.29347309046702,-6.23892141020572,-6.45149710485397,-15.7476130280949,-5.92525387644895,-4.83482694156746,-5.57074703931419,-15.7476130280949,-7.21436119150788,-8.4896451975725,-7.03908854525952,-5.50786383105296,-6.14522734366249,-5.49710079211417,-15.7476130280949,-7.96283593235791,-15.7476130280949,-6.39997151899559,-10.9699223821513,-6.56816170133029,-5.61511571044304,-4.70680183161324,-4.98014794341514,-6.76114324120383,-15.7476130280949,-7.61508599844181,-5.69574337116334
"28123",-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-5.04561337367615,-2.79059304211809,-14.0901251411955,-14.0901251411955,-14.0901251411955,-5.87767064438099,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-14.0901251411955,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-10.0381483726604,-13.7061610844164,-9.77500262499591,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164,-13.7061610844164
"820",-1.80006749622397,-11.7097217529644,-2.04992728829021,-3.37092603408834,-1.06537702761589,-0.425818677126395,-3.06519046332262,-1.70422097580285,-1.20298490159565,-2.33290711553056,-11.7097217529644,-3.69508039505405,-11.7097217529644,-1.03050156615472,-1.99178852747703,-11.7097217529644,-11.7097217529644,-1.04206278166983,-1.78146841404169,-4.41140794021174,-0.100826863215082,-1.62521296263581,-11.7097217529644,-11.7097217529644,-2.8261916356239,-11.7097217529644,-11.7097217529644,-11.7097217529644,-11.7097217529644,-3.44874166434222,-0.580113291665576,-1.66236531189658,-11.7097217529644,-11.7097217529644,-11.7097217529644,0.799868851024209,-2.93630474144264,-1.43102158787262,-11.7097217529644,-11.7097217529644,-3.84891980053393,1.05462625790936,-2.72791770489075,-11.7097217529644,-11.7097217529644,-5.85905135073506,-1.03630679261109,-3.93698619312233,-11.7097217529644,-11.7097217529644,-11.7097217529644,-3.05977319730325,-6.60790605712754,-6.49076636137319,-7.85774265404191,-4.90293185314633,-6.03470005774756,-4.31207431839682,-6.73076138503549,-5.38167824292519,-13.924381470196,-4.59260360217047,-6.09511399297006,-5.13983714513275,-5.41363580823615,-6.66762746466441,-6.58200238687983,-5.57402677697147,-4.51088279728439,-6.45721911731155,-5.42256963695433,-5.07627612627571,-8.62809238914113,-7.74669415026767,-4.3452196756798,-7.22554975037824,-5.07565142933344,-4.13462294685803,-6.11388413141529,-6.01634358251494,-4.71449604599167,-7.00978516043784,-7.16915448869487,-5.16573121713269,-3.67204118437123,-7.5109600789494,-6.9415229415202,-5.95209448500524,-5.05994944226875,-4.05650054961572,-5.79990791746579,-5.31606366331974,-6.93647885728848,-4.65897995466022,-4.82471521205898,-3.76316176289686,-7.64881036697187,-5.05730756571132
"363265",-6.34016594982636,-16.266105973349,-6.88375476031734,-16.266105973349,-7.31084585258843,-5.11159392636194,-6.25203525212747,-6.43393603262936,-3.81480369097045,-7.12172631530571,-3.42614125723575,-10.0583568293695,-7.9206390922064,-5.7866773823028,-16.266105973349,-16.266105973349,-16.266105973349,-6.92481739618691,-4.49275918934566,-16.266105973349,-16.266105973349,-10.1295966356044,-16.266105973349,-5.1037851363869,-16.266105973349,-16.266105973349,-16.266105973349,-16.266105973349,-5.53583171588261,-5.47394426666819,-16.266105973349,-4.51217586219581,-16.266105973349,-5.06575604719256,-16.266105973349,-16.266105973349,-16.266105973349,-16.266105973349,-8.2069122504397,-3.95064235621772,-16.266105973349,-16.266105973349,-16.266105973349,-5.34255871926071,-16.266105973349,-16.266105973349,-9.02381661139669,-16.266105973349,-6.23343640531818,-6.98979102342725,-5.17373780416132,-16.266105973349,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-7.79955416894321,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-3.82933446567479,-1.4686067941123,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629,-11.5301802522629
"1262924",-3.98392676619248,-15.7305906831894,-4.58473790126219,-15.7305906831894,-7.69102573296882,-5.07393185577921,-10.6123051712761,-3.92998006562301,-7.02564029750691,-4.90157839715126,-5.97812868841484,-15.7305906831894,-15.7305906831894,-3.20757728427939,-15.7305906831894,-15.7305906831894,-15.7305906831894,-3.09846862260619,-8.05531299818326,-15.7305906831894,-15.7305906831894,-3.8308207003665,-15.7305906831894,-5.98518022005293,-15.7305906831894,-7.47585035905086,-7.70141113901593,-6.0076097403591,-10.7877755034753,-15.7305906831894,-15.7305906831894,-3.93117587079106,-15.7305906831894,-9.02004923604951,-8.86474618444013,-15.7305906831894,-15.7305906831894,-15.7305906831894,-15.7305906831894,-6.44534878863891,-15.7305906831894,-15.7305906831894,-4.78260798694331,-5.9109708045868,-15.7305906831894,-6.02848985659871,-15.7305906831894,-15.7305906831894,-15.7305906831894,-5.57422160025185,-15.7305906831894,-15.7305906831894,-12.0656955424226,-12.0656955424226,-3.11574447844458,-12.0656955424226,-12.0656955424226,-4.47157839841612,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-2.88950435537403,-4.24433285832985,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-3.64195023828746,-2.78357871655721,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226,-12.0656955424226
"1262869",-15.1123634544702,-4.593692572037,-15.1123634544702,-15.1123634544702,-15.1123634544702,-4.48648619479198,-15.1123634544702,-15.1123634544702,-15.1123634544702,-5.45095819660081,-15.1123634544702,-15.1123634544702,-3.78240079010031,-15.1123634544702,-15.1123634544702,-4.11630333444054,-15.1123634544702,-15.1123634544702,-15.1123634544702,-15.1123634544702,-15.1123634544702,-15.1123634544702,-3.82700522682545,-15.1123634544702,-4.72135153673595,-3.95369794437953,-4.49329724047323,-15.1123634544702,-15.1123634544702,-15.1123634544702,-15.1123634544702,-15.1123634544702,-15.1123634544702,-5.36688301321085,-15.1123634544702,-15.1123634544702,-2.85084623070069,-5.64027410180734,-15.1123634544702,-15.1123634544702,-15.1123634544702,-15.1123634544702,-15.1123634544702,-15.1123634544702,-15.1123634544702,-15.1123634544702,-6.84060467658706,-15.1123634544702,-15.1123634544702,-15.1123634544702,-5.40729412194634,-2.85133762320508,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-3.61798265324026,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-2.87943577711503,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-3.22533526603299,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417,-12.6839227711417
"204516",-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-1.39271833320701,-11.881651245696,-11.881651245696,-11.881651245696,-4.46059988347587,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-3.51253148592197,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-11.881651245696,-3.66937190704383,-7.36597962376985,-8.71525729773441,-8.76452544030347,-7.57822067593359,-9.14748849042225,-8.02192767858631,-7.64036566662192,-7.57556330417654,-15.914634979916,-6.04827049304103,-15.914634979916,-6.3368258567762,-15.914634979916,-9.69259604298549,-7.59160703733224,-8.58363187461822,-8.20737185539223,-9.26788072916451,-15.914634979916,-8.72835547054659,-8.88277204727084,-8.98542997273081,-15.914634979916,-9.99917120603967,-7.26512629298686,-6.27968752308928,-15.914634979916,-15.914634979916,-15.914634979916,-10.601455670153,-15.914634979916,-15.914634979916,-10.3145863430477,-6.50048291414919,-8.41633491943008,-9.39850383190824,-15.914634979916,-15.914634979916,-15.914634979916,-11.1227619437368,-15.914634979916,-15.914634979916,-15.914634979916,-9.61518826161925,-8.84818581133353,-15.914634979916
"28125",-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-3.69527329091395,-13.9225892259737,-13.9225892259737,-13.9225892259737,-6.82951547638344,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.9225892259737,-13.8736969996382,-13.8736969996382,-13.8736969996382,-9.39475018680067,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-10.2323550851981,-13.8736969996382,-8.92114495577569,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382,-13.8736969996382
"28118",-1.46780786883701,-12.8629724398762,-1.86803284265869,-8.32578213718977,-3.67479332254439,-2.68665334934388,-0.910154847112878,-1.44382140425754,-1.63895908468444,-4.95909031385041,-2.53012590430574,-4.93908637692334,-4.09645904045662,-3.82849785828115,-2.70898070535466,-12.8629724398762,-12.8629724398762,-4.6272197708923,-1.34350403925318,-12.8629724398762,-3.21759748589275,-4.57955283163596,-12.8629724398762,-7.12571750160659,-5.95108663420731,-12.8629724398762,-7.5155791020153,-6.28583000147949,-12.8629724398762,-4.20024940742111,-5.6976235036647,-12.8629724398762,-8.33065450188681,-12.8629724398762,-12.8629724398762,-3.82308694074561,-5.68241883633839,-6.26134010059759,-12.8629724398762,-12.8629724398762,-7.40274953759195,-5.73473773936023,-4.3772787016632,-12.8629724398762,-12.8629724398762,-12.8629724398762,-6.07283487111184,-7.22583121312606,-12.8629724398762,-7.34618129557506,-5.84720929972114,-5.92682942090475,-5.21693332367238,-6.86254908866203,-8.64521647946537,-7.38023080523182,-7.98869565279265,-6.07331261441221,-7.2536684857515,-6.38134643814832,-6.37515992089633,-14.9333137857357,-6.32362357056122,-6.7534459941445,-6.38992604261276,-7.06349791812539,-5.88105387664886,-6.54058097512988,-5.35037486732348,-8.07560864503067,-7.17699831374855,-6.93050660540699,-8.40685295104044,-14.9333137857357,-6.57516513181435,-6.55854226210015,-5.68255182155626,-7.37472756012249,-6.12763598294623,-7.19586966862899,-6.18805055951442,-7.37704709716757,-7.10668212950923,-6.42346254580523,-6.98392365282802,-6.3024462720819,-9.28932657344702,-5.7139627142639,-7.26166270769242,-8.15780614734082,-7.59869588936654,-7.15631456735614,-6.23262631566089,-6.63770127120941,-7.14356419721264,-6.69824840772997,-6.89623739518914,-6.52004233924685
