"","GupDM_JM","GupDM_A13","GupDM_JI","GupDM_A7","GupDM_A2","GupDM_A_11","GupDM_JC","GupDM_JN","GupDM_JJ","GupDM_A1","GupDM_JE","GupDM_A12","GupDM_JL","GupDM_A14","GupDM_A3","GupDM_A10","GupDM_A_15","GupDM_JH","GupDM_JD","GupDM_A9","GupDM_A6","GupDM_JB","GupDM_JA","GupDM_HAK","GupDM_HAJ","GupDM_HAI","GupDM_HAH","GupDM_HAG","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HDF","GupDM_HDB","GupDM_HCY","GupDM_HCL","GupDM_HCU","GupDM_HCV","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HP","GupDM_HS","GupDM_HR","GupDM_HBR","CRC_MR_SBJ01C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ03H_17","CRC_MR_SBJ05C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ12C_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ17H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ26C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ29C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ33C_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ39C_17","CRC_MR_SBJ40C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ47C_17","CRC_MR_SBJ50C_17","CRC_MR_SBJ51C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ61C_17","CRC_MR_SBJ63H_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ69H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ77H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ81H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ84H_17"
"562",7.39085997955906,93.2398160315375,24.1738209957658,37.8193166885677,30.7139728427508,191.362680683311,9.14082347787998,9.70513943641408,27.5495692801869,179.67878522412,8.46291429405753,9.41283399036356,1.16038837786538,38.4891955029931,0,249.308804204993,418.546576142503,5.24945247481384,35.0462111257118,2.10833698350124,0,11.6930208789604,0,2.05825667980727,0,0.170170827858081,0.623229668564754,6.32647101766681,24.693750912542,70.7257263834136,2.18367644911666,1.15235800846839,1.70922762447073,0.0987005402248503,32.7285735143817,1.53883778653818,0,71.7696014016645,0,44.2685063512922,0.48678639217404,0.488100452620821,35.1333771353482,0,1.37151408964812,12.7348518031829,7.75310264272157,0,3.13191706818514,1.92641261498029,0.36574682435392,0,26.1927288655278,2.89407212731786,1.59307928164696,0,27.8675719083078,1.47276974740838,2.51262958096072,0.0419769309388232,1.59921156373193,0,5.52832530296394,0.398744342239743,1.22769747408381,0.845743904219594,10.5692801868886,0.0326325010950504,1.71273178566214,3.37312016352752,0,0.0102204701416265,13.6081179734268,1.44663454518908,1.76938239159001,1.53401956489999,19.540662870492,1.80427799678785,0.0451890786976201,1.18966272448533,13.9307198131114,0.0835158417287195,0,90.0429259745948,5.5243831216236,1.08453788874288,0,1.82464593371295,8.4069937217112,0,2.79456855015331,0.673820995765805,0,0,0,1.31778361804643,1.37917944225434,0
"28117",0.883340633669149,0,0.635421229376551,0.590597167469704,2.24375821287779,113.115637319317,2.27186450576727,1.42239743028179,0.916484158271281,5.93845816907578,1.31055628558914,0,0,0,0,0,0,0,1.28318002628121,0,199.056358592495,0,0,0,32.8366184844503,0,0,0,0,53.8848007008322,25.3719521097971,0,0,0,0,76.9830632209082,0.795152577018543,35.1037377719375,0,0,0.581763761133012,85.4224704336399,0,0,0,1.12600379617462,0,0.0283983063220908,0,0,6.76631625054753,1.3450868739962,58.4913126003796,25.6020586947,0.276609724047306,0.0310264272156519,9.33953861877647,0.0525624178712221,4.21251277558768,23.0339465615418,0,40.6368082931815,0,24.4126879836473,0.0657030223390276,7.79135640239451,28.5664330559206,53.1102350708133,44.9792670462841,2.06497298875748,16.4510147466784,8.57001022047014,9.05489852533217,7.321360782596,0,12.3688859687546,36.7343407796759,17.6571762301066,0,3.39925536574682,0.952401810483282,4.06723609286027,18.8077821579793,9.93918820265732,18.7985837348518,0,1.61454226894437,0,7.70440940283253,0.0798656738209958,6.51365162797489,16.8918820265732,41.8984523288071,31.863410716893,5.37239012994598,0,2.2870492042634,15.5866549861294
"28123",0,0,0,0,5.69426193604906,54.2975616878376,0,0,0,2.44714556869616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262082055774566,0,0.0342385749744488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"820",13.5254781719959,0,10.5340195649,2.6638925390568,28.1991531610454,53.4555409548839,3.81705358446489,14.8864067747116,24.4542268944371,7.84034165571616,0,1.95889910935903,0,29.1999561979851,11.1660826398014,0,0,28.8593225288363,13.7550737333917,0.993283691049788,73.9835012410571,16.1079719667105,0,0,4.84756898817346,0,0,0,0,2.60030661410425,45.8124543729012,15.4943787414221,0,0,0,182.096729449555,4.34194772959556,19.5631479048036,0,0,1.74324718937071,234.931887866842,5.34815301503869,0,0,0.233537742736166,29.0158417287195,1.59629142940575,0,0,0,3.83778653818076,8.77514965688422,9.74412322966857,2.51343261790042,48.1462257263834,15.5787706234487,87.1583442838371,7.77281354942328,29.9462695283983,0.00584026865235801,65.9134180172288,14.6668856767411,38.117681413345,28.8920280332895,8.2593079281647,9.01430865819828,24.6656446196525,71.474959848153,10.1547671192875,27.7187180610308,40.6263688129654,1.16542560957804,2.81384143670609,84.4085267922325,4.72959556139582,40.52175500073,104.190173747992,14.3943641407505,15.80814717477,58.2842750766535,5.87801138852387,5.01248357424442,37.148853847277,163.660242371149,3.55774565630019,6.29223244269236,16.9043656008176,41.2960286173164,112.726456416995,19.7095926412615,31.9712366768871,6.32508395386188,61.656446196525,52.2820119725507,151.10008760403,3.10337275514674,41.4215943933421
"363265",13.7475543875018,0,7.98182216381954,0,5.20805957074025,46.9676595123376,15.0145276682727,12.5173747992408,170.949554679515,6.21426485618339,253.370346035918,0.321579792670463,2.71959410132866,23.9118849467076,0,0,0,7.66038837786538,87.0516133742152,0,0,0.310775295663601,0,47.2515695722003,0,0,0,0,30.5513943641407,32.6815593517302,0,85.3747992407651,0,49.1706818513652,0,0,0,0,2.12578478610016,149.874361220616,0,0,0,37.2660972404731,0,0,0.938677179150241,0,15.2963936341072,7.17973426777632,44.1377573368375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027960286173164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48306322090816,15.7369689005694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262924",84.9094028325303,0,46.5565776025697,0,2.08446488538473,28.5485472331727,0.112279164841583,89.6181924368521,4.03504161191415,33.4978098992554,11.557672652942,0,0,184.557380639509,0,0,0,205.798218718061,1.44546649145861,0,0,98.946123521682,0,11.4567090086144,0,2.58490290553365,2.06292889472916,11.222587239013,0.0936633085121916,0,0,89.3477149948898,0,0.551832384289677,0.644546649145861,0,0,0,0,7.23967002482114,0,0,38.2036063658928,12.3561833844357,0,10.9903635567236,0,0,0,17.3105562855891,0,0,0,0,5.16951379763469,0,0,1.33289531318441,0,0,0,0,0,0,0,0,6.49116659366331,1.67236092860272,0,0,0,0,0,0,0,0,0,0,0,0,3.05570156227186,7.21784202073295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262869",0,22.7874142210542,0,0,0,27.6831654256096,0,0,0,10.4215213899839,0,0,53.7841290699372,0,0,39.7663162505475,0,0,0,0,0,0,51.560008760403,0,21.88845086874,47.1631625054753,27.49525478172,0,0,0,0,0,0,11.4779529858373,0,0,142.084683895459,8.73236968900569,0,0,0,0,0,0,0,0,2.62790188348664,0,0,0,11.0233610746094,142.020732953716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81369542998978,0,0,0,0,0,0,0,12.1582712804789,0,0,0,0,8.6109651043948,0,0,0,0,0,0,0
"204516",0,0,0,0,0,24.1402394510147,0,0,0,1.10906701708279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8980143086582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47744196233027,3.46225726383414,0.887136808293182,0.85465031391444,2.79274346619945,0.583442838370565,1.79668564753979,2.63556723609286,2.81114031245437,0,12.9454664914586,0,9.69645203679369,0,0.337713534822602,2.76565922032414,1.02416411154913,1.49321068769163,0.514454664914586,0,0.88728281500949,0.760694991969631,0.686523580084684,0,0.248649437874142,3.82070375237261,10.2699664184552,0,0,0,0.136370273032559,0,0,0.179661264418163,8.22908453788874,1.21236676887137,0.453496860855599,0,0,0,0.0809607241933129,0,0,0,0.365673820995766,0.787560227770478,0
"28125",0,0,0,0,0,18.5832968316543,0,0,0,0.798948751642576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0589867133888159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256241787122208,0,0.0950503723171266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28118",59.7449992699664,0,40.0350416119142,0.0594977368958972,6.57402540516864,17.6593663308512,104.351511169514,61.1970360636589,50.1029347349978,1.79741568112133,20.6503869177982,1.78894729157541,4.14345159877354,5.63739232004672,17.2694553949482,0,0,2.53584464885385,67.5334355380348,0,10.3845816907578,2.65973134764199,0,0.208132574098409,0.674916046138122,0,0.141188494670755,0.482917214191853,0,3.88596875456271,0.869616002336108,0,0.0624908745802307,0,0,5.66798072711345,0.882902613520222,0.494889764929187,0,0,0.158052270404439,0.837932544897065,3.25646079719667,0,0,0,0.597240473061761,0.188640677471164,0,0.167250693531902,0.748795444590451,0.691487808439188,11.1300189808731,2.12045554095488,0.360928602715725,1.27595269382392,0.69674405022631,4.7267484304278,1.45422689443714,3.47809899255366,3.5008030369397,0,3.68338443568404,2.39604321798803,3.43502701124252,1.75456270988465,5.73455978975033,2.96123521681997,9.74353920280333,0.635275222660242,1.51350562125858,2.00759234924807,0.458899109359031,0,2.86472477733976,2.90838078551613,6.97050664330559,1.28770623448679,4.48094612352168,1.53380055482552,4.21448386625785,1.28493210687692,1.68396846254928,3.33326032997518,1.8826106000876,3.75989195502993,0.189808731201635,6.76967440502263,1.44167031683457,0.588845086873996,1.02949335669441,1.60213169805811,4.03547963206308,2.69017374799241,1.62344867863922,2.5335085413929,2.07884362680683,3.0277412760987
