"GupDM_JM","GupDM_A13","GupDM_JI","GupDM_A7","GupDM_A2","GupDM_A_11","GupDM_JC","GupDM_JN","GupDM_JJ","GupDM_A1","GupDM_JE","GupDM_A12","GupDM_JL","GupDM_A14","GupDM_A3","GupDM_A10","GupDM_A_15","GupDM_JH","GupDM_JD","GupDM_A9","GupDM_A6","GupDM_JB","GupDM_JA","GupDM_HAK","GupDM_HAJ","GupDM_HAI","GupDM_HAH","GupDM_HAG","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HDF","GupDM_HDB","GupDM_HCY","GupDM_HCL","GupDM_HCU","GupDM_HCV","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HP","GupDM_HS","GupDM_HR","GupDM_HBR","CRC_MR_SBJ01C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ03H_17","CRC_MR_SBJ05C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ12C_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ17H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ26C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ29C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ33C_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ39C_17","CRC_MR_SBJ40C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ47C_17","CRC_MR_SBJ50C_17","CRC_MR_SBJ51C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ61C_17","CRC_MR_SBJ63H_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ69H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ77H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ81H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ84H_17"
"562",1.0124,12.77199,3.31133,5.18049,4.2072,26.21286,1.25211,1.32941,3.77374,24.6124,1.15925,1.28937,0.15895,5.27225,0,34.15032,57.33251,0.71907,4.80063,0.2888,0,1.60171,0,0.28194,0,0.02331,0.08537,0.8666,3.38255,9.68801,0.29912,0.15785,0.23413,0.01352,4.48316,0.21079,0,9.831,0,6.0639,0.06668,0.06686,4.81257,0,0.18787,1.74442,1.06202,0,0.42901,0.26388,0.0501,0,3.58788,0.39643,0.21822,0,3.8173,0.20174,0.34418,0.00575,0.21906,0,0.75727,0.05462,0.16817,0.11585,1.44778,0.00447,0.23461,0.46205,0,0.0014,1.86404,0.19816,0.24237,0.21013,2.67668,0.24715,0.00619,0.16296,1.90823,0.01144,0,12.33408,0.75673,0.14856,0,0.24994,1.15159,0,0.3828,0.0923,0,0,0,0.18051,0.18892,0
"28117",0.121,0,0.08704,0.0809,0.30735,15.49458,0.3112,0.19484,0.12554,0.81345,0.17952,0,0,0,0,0,0,0,0.17577,0,27.26674,0,0,0,4.49796,0,0,0,0,7.38114,3.47545,0,0,0,0,10.54514,0.10892,4.80851,0,0,0.07969,11.70117,0,0,0,0.15424,0,0.00389,0,0,0.92685,0.18425,8.01214,3.50697,0.03789,0.00425,1.27933,0.0072,0.57703,3.15519,0,5.56643,0,3.34405,0.009,1.06726,3.91303,7.27504,6.16126,0.28286,2.25346,1.17392,1.24034,1.00288,0,1.69429,5.03187,2.41868,0,0.46563,0.13046,0.55713,2.57629,1.36147,2.57503,0,0.22116,0,1.05535,0.01094,0.89224,2.31385,5.73925,4.36465,0.73591,0,0.31328,2.13506
"28123",0,0,0,0,0.78,7.43768,0,0,0,0.33521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00359,0,0.00469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"820",1.85272,0,1.44295,0.3649,3.86272,7.32234,0.52286,2.03914,3.34974,1.07397,0,0.26833,0,3.99981,1.52953,0,0,3.95315,1.88417,0.13606,10.13426,2.20647,0,0,0.66402,0,0,0,0,0.35619,6.27539,2.12242,0,0,0,24.94361,0.59476,2.67976,0,0,0.23879,32.18097,0.73259,0,0,0.03199,3.97459,0.21866,0,0,0,0.5257,1.20202,1.33475,0.34429,6.59507,2.13398,11.93895,1.06472,4.10204,8e-04,9.02882,2.00907,5.22136,3.95763,1.13136,1.23478,3.3787,9.79064,1.391,3.79691,5.565,0.15964,0.38544,11.56228,0.64786,5.55067,14.27197,1.97174,2.1654,7.98378,0.80517,0.68661,5.08865,22.41818,0.48734,0.86191,2.31556,5.65673,15.44127,2.69982,4.37942,0.86641,8.4457,7.16159,20.69769,0.4251,5.67393
"363265",1.88314,0,1.09335,0,0.7134,6.43363,2.05669,1.71463,23.41667,0.85123,34.70667,0.04405,0.37253,3.27545,0,0,0,1.04932,11.92433,0,0,0.04257,0,6.47252,0,0,0,0,4.18493,4.47672,0,11.69464,0,6.7354,0,0,0,0,0.29119,20.52979,0,0,0,5.10471,0,0,0.12858,0,2.0953,0.98348,6.04599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20315,2.15565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262924",11.63089,0,6.37732,0,0.28553,3.91058,0.01538,12.2759,0.55272,4.58853,1.58317,0,0,25.28067,0,0,0,28.19024,0.198,0,0,13.55364,0,1.56934,0,0.35408,0.28258,1.53727,0.01283,0,0,12.23885,0,0.07559,0.08829,0,0,0,0,0.99169,0,0,5.23313,1.69255,0,1.50546,0,0,0,2.3712,0,0,0,0,0.70812,0,0,0.18258,0,0,0,0,0,0,0,0,0.88916,0.22908,0,0,0,0,0,0,0,0,0,0,0,0,0.41857,0.9887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262869",0,3.12142,0,0,0,3.79204,0,0,0,1.42754,0,0,7.36735,0,0,5.44719,0,0,0,0,0,0,7.06269,0,2.99828,6.46041,3.7663,0,0,0,0,0,0,1.57225,0,0,19.46276,1.19616,0,0,0,0,0,0,0,0,0.35997,0,0,0,1.50998,19.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79636,0,0,0,0,0,0,0,1.66544,0,0,0,0,1.17953,0,0,0,0,0,0,0
"204516",0,0,0,0,0,3.30673,0,0,0,0.15192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33936,0.47426,0.12152,0.11707,0.38255,0.07992,0.24611,0.36102,0.38507,0,1.77327,0,1.32822,0,0.04626,0.37884,0.14029,0.20454,0.07047,0,0.12154,0.1042,0.09404,0,0.03406,0.52336,1.40678,0,0,0,0.01868,0,0,0.02461,1.12722,0.16607,0.06212,0,0,0,0.01109,0,0,0,0.05009,0.10788,0
"28125",0,0,0,0,0,2.54554,0,0,0,0.10944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00351,0,0.01302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28118",8.18387,0,5.484,0.00815,0.90051,2.41898,14.29407,8.38277,6.8631,0.24621,2.82869,0.24505,0.56757,0.77221,2.36557,0,0,0.34736,9.25073,0,1.42248,0.36433,0,0.02851,0.09245,0,0.01934,0.06615,0,0.5323,0.11912,0,0.00856,0,0,0.7764,0.12094,0.06779,0,0,0.02165,0.11478,0.44607,0,0,0,0.08181,0.02584,0,0.02291,0.10257,0.09472,1.52459,0.29046,0.04944,0.17478,0.09544,0.64747,0.1992,0.47643,0.47954,0,0.50455,0.32821,0.47053,0.24034,0.78552,0.40563,1.33467,0.08702,0.20732,0.275,0.06286,0,0.39241,0.39839,0.95482,0.17639,0.6138,0.2101,0.5773,0.17601,0.23067,0.45659,0.25788,0.51503,0.026,0.92731,0.19748,0.08066,0.14102,0.21946,0.55278,0.3685,0.22238,0.34704,0.28476,0.41474
