"","GupDM_JM","GupDM_A13","GupDM_JI","GupDM_A7","GupDM_A2","GupDM_A_11","GupDM_JC","GupDM_JN","GupDM_JJ","GupDM_A1","GupDM_JE","GupDM_A12","GupDM_JL","GupDM_A14","GupDM_A3","GupDM_A10","GupDM_A_15","GupDM_JH","GupDM_JD","GupDM_A9","GupDM_A6","GupDM_JB","GupDM_JA","GupDM_HAK","GupDM_HAJ","GupDM_HAI","GupDM_HAH","GupDM_HAG","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HDF","GupDM_HDB","GupDM_HCY","GupDM_HCL","GupDM_HCU","GupDM_HCV","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HP","GupDM_HS","GupDM_HR","GupDM_HBR","CRC_MR_SBJ01C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ03H_17","CRC_MR_SBJ05C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ12C_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ17H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ26C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ29C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ33C_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ39C_17","CRC_MR_SBJ40C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ47C_17","CRC_MR_SBJ50C_17","CRC_MR_SBJ51C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ61C_17","CRC_MR_SBJ63H_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ69H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ77H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ81H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ84H_17"
"562",15338.9171206576,27835.706286205,39571.8331934252,83970.7604771543,24241.5292943779,204052.587591629,9090.2506099824,18702.4772758765,28050.2748985936,329701.109505691,5921.90114830672,11119.3413803202,2512.10448596648,27846.019994423,0,399050.147906039,42994.8898311807,6934.37837248511,34531.9199292264,2952.53902632969,0,30291.4547728327,0,5119.13538458277,0,676.538777899159,2752.51559642283,21220.2885768409,42582.7824766454,108914.327402298,2052.79213330686,2914.97844833057,8789.68969891028,483.717419380721,34409.5463324336,2246.66883747856,0,78527.3234649456,0,72430.1955180652,4690.23316639257,306.537234386921,46276.0488650941,0,1916.83226097885,57858.4257939678,7544.10095469129,0,9557.29654152684,9034.72874618183,1153.86713880512,0,20667.8743791577,2702.63500045806,1830.38149754281,0,37560.9432504515,3130.48387440045,4867.73727735128,51.542124917332,2130.21988322729,0,4443.01652763425,482.558792065529,1055.2491576834,1972.52599254856,9304.96961380415,48.7306961461122,1687.87817320623,5560.87823643388,0,7.35797625594035,15089.5559043406,971.634195031929,2170.72364746379,2834.99115703789,23906.1140194298,2288.60202720692,47.6526904873817,1934.60864189531,16590.6325432184,194.786819823327,0,63285.3621646188,5943.80682407437,1200.45852926813,0,2061.20569433129,8676.16139759088,0,3300.91605644706,724.971133117964,0,0,0,1180.69913221256,2110.87588302971,0
"28117",1833.27634492253,0,1040.16584307687,1311.31119307281,1770.92461224259,120616.718001985,2259.2951017295,2741.0585691636,933.140998258872,10896.7580377129,917.058179119278,0,0,0,0,0,0,0,1264.3497969975,0,121678.562695272,0,0,0,37031.9793076394,0,0,0,0,82980.0855451424,23851.2183060355,0,0,0,0,112393.554840593,2920.27789453577,38409.0550457152,0,0,5605.34914561823,53647.0878087228,0,0,0,5115.78839640774,0,254.162461203875,0,0,21346.5420678947,6187.96696291363,46153.6904880388,23908.533328851,317.813009540359,36.7785463153868,12588.17528845,111.725408425118,8160.93451435297,28282.642977029,0,24458.2385326011,0,29544.1363714158,56.474058507169,18171.7573656226,25149.2804486207,79310.4616757969,44326.5686605372,3404.28528937926,26865.5238848406,6169.7682045525,10040.6535108634,4917.40261159477,0,22858.6930350627,44940.918582329,22396.9085622692,0,5527.8094128971,1134.25211928765,9486.15217903585,28847.7665231995,6985.61400820033,20225.8148694993,0,1694.07278145881,0,7951.08235652232,53.0658767420817,7693.85930565393,18174.1544568256,48221.3956374698,31287.8332602365,5112.28797375767,0,3500.39803427666,10330.8482116734
"28123",0,0,0,0,4494.29379388067,57898.2167408863,0,0,0,4490.38325873961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.6193239101875,0,79.8557853995981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"820",28070.6425600402,0,17243.8798629109,5914.67805132596,22256.6647737163,57000.3587638163,3795.93520851634,28687.1390408759,24898.6755417212,14386.6140878511,0,2314.0393157754,0,21125.4756951763,7646.76573125919,0,0,38122.3495114377,13553.2227172372,1391.0057476538,45224.4085937734,41728.6438947201,0,0,5466.9172024337,0,0,0,0,4004.35118021393,43066.5660117429,39194.2258999415,0,0,0,265857.16248977,15946.2401813633,21405.1856706767,0,0,16796.3523965639,147542.11103333,7044.33818896749,0,0,1061.03521006927,28233.6568176743,14286.6744901901,0,0,0,17655.4368108749,6924.19990669564,9099.56881886183,2887.82900645685,57072.2558701689,20997.6427521019,185261.675682925,15058.3335287973,36770.0622775465,7.77949377605146,39671.5728443399,11787.5146449406,46129.8640523484,24833.7142410808,19263.1593174773,7936.00573273086,36833.6472189864,70437.7799655593,16741.0055770577,45266.3798308335,29247.9556173629,1292.29882651066,1889.92069102294,103554.543114237,8740.67182695744,49574.4541387946,132158.03954779,15179.1140454911,25706.9314749638,69412.9954386506,13709.4845906598,7688.25131196177,26109.5321401343,176085.699347624,3938.01467187351,6602.1806432771,19095.9648618298,42618.2082708206,74899.8656820113,23280.7711272646,34398.1915471232,7279.60959955747,60542.6903339281,49750.7989156054,135381.666510468,4749.80593836507,27454.2680738059
"363265",28531.5373237803,0,13066.0078645232,0,4110.5502468647,50082.2439484716,14931.4577210027,24121.8500022838,174056.514415315,11402.8487853492,177295.207183008,379.880862594218,5887.60166188798,17299.6815763162,0,0,0,10119.1565686457,85774.1606350982,0,0,805.081587602928,0,117520.41625672,0,0,0,0,52683.9112119518,50328.0805623047,0,215962.138492142,0,240978.572965748,0,0,0,0,2053.4710330816,245217.880183515,0,0,0,32072.1568132291,0,0,913.373101028424,0,46678.1740366453,33672.4080161244,139246.889871145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.2116922871039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1766.23729904404,36703.8643489646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262924",176220.128160297,0,76211.7467184166,0,1645.19962431634,30441.6980056382,111.657964860539,172700.476746025,4108.37735030782,61466.7172644744,8087.44985202912,0,0,133522.887247837,0,0,0,271853.631178,1424.25476364286,0,0,256325.722551058,0,28494.2325474964,0,10276.6559621851,9110.99750775639,37642.87216769,161.516340978067,0,0,226011.93526988,0,2704.45264282461,677.651220498614,0,0,0,0,11845.2317144594,0,0,50320.011884999,10634.0475784581,0,49932.6685636411,0,0,0,81185.1932808335,0,0,0,0,5939.55524718181,0,0,2833.17014864694,0,0,0,0,0,0,0,0,5714.6850915264,2497.36641457525,0,0,0,0,0,0,0,0,0,0,0,0,3639.15307044482,16834.4168495912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262869",0,6802.92815104662,0,0,0,29518.9298020499,0,0,0,19122.9429825517,0,0,116436.319501008,0,0,63650.9987365359,0,0,0,0,0,0,76955.4339284088,0,24685.0223031127,187503.984818855,121433.75296717,0,0,0,0,0,0,56251.8278566079,0,0,521820.306598008,9554.5970131044,0,0,0,0,0,0,0,0,2557.0610917499,0,0,0,34776.772500059,653355.274336618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7374.271132456,0,0,0,0,0,0,0,13457.8059570834,0,0,0,0,10171.1847337017,0,0,0,0,0,0,0
"204516",0,0,0,0,0,25741.0604171719,0,0,0,2035.07957599034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10643.2493187097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11397.2779839043,2731.96040644039,828.45446927746,981.957482894953,3310.50185716499,786.385818399414,3818.99170382023,5105.90537471485,3451.70887685514,0,7791.53975576904,0,11734.6070816052,0,787.648272898545,2434.82759016809,1529.40254191009,1471.54256658967,848.122690880847,0,638.777452962136,843.50750264602,461.104560460247,0,459.52409845672,4674.26208333039,13026.7431107997,0,0,0,318.060996005222,0,0,193.301555297755,9108.6487840712,1272.08657450201,512.291340849242,0,0,0,87.1064990929384,0,0,0,327.63403430573,1205.38476742137,0
"28125",0,0,0,0,0,19815.6181285825,0,0,0,1466.02888886508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.922506877253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.7641379003389,0,66.8047730664417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28118",123994.175875381,0,65536.1843225362,132.103661601279,5188.66218503523,18830.4186697827,103774.172026923,117930.935854175,51013.5413824316,3298.16312799224,14450.0518086726,2113.27594503322,8970.08583265176,4078.51962632527,11826.4823906003,0,0,3349.77911951052,66542.4054023935,0,6347.85536748325,6890.18968314247,0,517.651095319766,761.14649463118,0,623.563917474728,1619.80393417727,0,5984.21104811442,817.493310108028,0,321.358834077957,0,0,8275.1254111597,3242.54873820378,541.487870785135,0,0,1522.84865105577,526.239063160796,4289.25857021353,0,0,0,581.140561480287,1688.31825128744,0,784.393040681467,2362.31841172138,3181.13558060884,8782.35464946432,1980.19161575322,414.691876264854,1512.50690000078,939.09737872923,10047.0625268071,2817.28533223422,4270.64601293295,4663.22305670965,0,2960.27043064939,2899.68182247944,2952.52652770869,4092.1613901521,5048.58454394689,4422.06538652069,9602.14978659546,1047.30575507949,2471.64822619667,1445.31676455971,508.85682933137,0,3514.51774766376,5374.92089207788,8527.74175023985,1633.36642354452,4725.23770939497,2494.23954137337,5019.19169450223,2996.89057317341,2582.90576911234,2342.73358943215,2025.54266884133,4161.76734200972,199.158493027352,7647.34197171459,1487.82843963238,391.251701829644,1216.027121944,1723.75043200507,4644.47847375189,2641.57871911772,1544.85004906066,2269.95638381834,3181.73309576297,2006.7894988007
