"","GupDM_JM","GupDM_A13","GupDM_JI","GupDM_A7","GupDM_A2","GupDM_A_11","GupDM_JC","GupDM_JN","GupDM_JJ","GupDM_A1","GupDM_JE","GupDM_A12","GupDM_JL","GupDM_A14","GupDM_A3","GupDM_A10","GupDM_A_15","GupDM_JH","GupDM_JD","GupDM_A9","GupDM_A6","GupDM_JB","GupDM_JA","GupDM_HAK","GupDM_HAJ","GupDM_HAI","GupDM_HAH","GupDM_HAG","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HDF","GupDM_HDB","GupDM_HCY","GupDM_HCL","GupDM_HCU","GupDM_HCV","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HP","GupDM_HS","GupDM_HR","GupDM_HBR","CRC_MR_SBJ01C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ03H_17","CRC_MR_SBJ05C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ12C_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ17H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ26C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ29C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ33C_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ39C_17","CRC_MR_SBJ40C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ47C_17","CRC_MR_SBJ50C_17","CRC_MR_SBJ51C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ61C_17","CRC_MR_SBJ63H_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ69H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ77H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ81H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ84H_17"
"562",0.0101242682931098,0.139386341655704,0.0331176682204383,0.0546767988601282,0.0420720084144017,0.26212865242573,0.0125210987478901,0.0132940960117712,0.0379220538568451,0.249214786706209,0.0115931944323465,0.01338246092929,0.0016542556728897,0.0527225210890084,0,0.344241815765321,0.5733251,0.00719194636430493,0.0480924528199817,0.00288800057760012,0,0.0160193731490498,0,0.00282442974448899,0,0.000233099953380009,0.000853700170740034,0.00866599913340009,0.0340226442118858,0.0969089885694926,0.00299119970088003,0.00158138587107613,0.00234130023413002,0.000135199972960005,0.0448316,0.0021079,0,0.09831,0,0.060676224863954,0.000666799866640027,0.000668599866280027,0.0481257096251419,0,0.0018787,0.0174447128745585,0.0106257285665732,0,0.00429009957099004,0.0026388,0.000501,0,0.0359391994185428,0.00402051687723595,0.0021868308329719,0,0.0382074746043355,0.00202085485345747,0.00344220721311331,5.75246665770282e-05,0.00219083858232162,0,0.00757880321022519,0.000546744557579349,0.00168896440480149,0.00116145054897462,0.0144878850167602,4.47927927494598e-05,0.00234910944410885,0.00464993127501206,0,1.40114627776984e-05,0.0186466111861861,0.00198212942676989,0.00242521236242921,0.00210576464219438,0.0268746587554491,0.00247315924253582,6.19489830609063e-05,0.00163718359814497,0.0191144524204164,0.00011445815618916,0,0.123445407638433,0.00765618989592972,0.00148771806420801,0,0.00250401690637197,0.0115250716520207,0,0.00382990882655916,0.000923564667437671,0,0,0,0.00180583605877756,0.00188960059532621,0
"28117",0.00121003206584974,0,0.000870514820904877,0.000853848386500963,0.00307350061470012,0.154945830989166,0.00311199968880003,0.00194839941548018,0.00126154283050458,0.00823665177902869,0.00179530753892158,0,0,0,0,0,0,0,0.00176085439456242,0,0.272667454533491,0,0,0,0.0449796089959218,0,0,0,0,0.0738334097394433,0.0347544965245503,0,0,0,0,0.1054514,0.00108924509474692,0.0480851,0,0,0.000796899840620032,0.117011676597665,0,0,0,0.00154244534789323,0,3.88999961100004e-05,0,0,0.0092685,0.00184250036850007,0.0802562787019866,0.0355670157984011,0.000379704061320252,4.26847352657567e-05,0.0128048538196014,7.21233019970942e-05,0.00577098270725427,0.0315654352586389,0,0.0556958294090285,0,0.0334738399445848,9.03887711435656e-05,0.0106997817254955,0.0391575575758285,0.0729014225870313,0.0616916331512301,0.00284661738004526,0.0233801234608634,0.0117488117028541,0.0124075329492254,0.0100314794081499,0,0.0169788986609409,0.0505214628389579,0.0242030378180721,0,0.0046779688193682,0.00130679816519367,0.00557413221657924,0.0257738745157688,0.0136262468816075,0.0260527779627026,0,0.0022130889662565,0,0.0105619051641296,0.000109405163923737,0.00892684914161218,0.0231526555335932,0.0574217621299814,0.0436881654033452,0.0073601620713869,0,0.00313346429443042,0.0213591842561525
"28123",0,0,0,0,0.00780000156000031,0.074376814875363,0,0,0,0.00339419514764055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60670662576119e-05,0,4.69238420041223e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"820",0.0185276909838111,0,0.0144314035021219,0.0038512889522151,0.0386272077254415,0.0732234146446829,0.00522859947714005,0.0203913938825818,0.0336613070021857,0.0108745674732601,0,0.00278501573726423,0,0.0399981159992464,0.0152952969409406,0,0,0.039538351996401,0.0188755135950542,0.00136060027212005,0.101342620268524,0.0220678314252792,0,0,0.00664020132804027,0,0,0,0,0.00356296211900768,0.0627538937246106,0.0212630028539081,0,0,0,0.2494361,0.00594784624083437,0.0267976,0,0,0.0023878995224201,0.321809635638073,0.00732590146518029,0,0,0.000319909405336517,0.0397665905570668,0.00218659978134002,0,0,0,0.00525700105140021,0.012040435155322,0.0135367779983621,0.00345020615655713,0.0662373687080315,0.0213590722909281,0.119593957830307,0.010648459712784,0.0410379970931535,8.00087129488401e-06,0.0903393411009973,0.0201068920801922,0.0522656565939676,0.0397472569267677,0.0113424142692095,0.0123564012909386,0.0338571384480089,0.0980319887808271,0.0139986027562856,0.0393937432081274,0.0556955645413513,0.00159693193802856,0.00385542978529565,0.115694947369179,0.00649236511251155,0.0557303682599746,0.142815514928966,0.0197330028853815,0.021754770271374,0.0799723214418974,0.00805579314849875,0.00686902483077294,0.050929657792013,0.226815169480705,0.00488034815166352,0.00862490283462714,0.0231983731604332,0.056612352109809,0.154419988623463,0.0270116626126461,0.0438209921546033,0.00866851747650603,0.0845376235315621,0.0716262356658066,0.20706129818514,0.00425190140309746,0.0567621126930914
"363265",0.0188318990453247,0,0.0109349423188919,0,0.00713400142680029,0.0643363128672626,0.0205668979433102,0.0171462948561115,0.235312507191266,0.00861919613235305,0.347087490540683,0.000457198014483992,0.0038770674163045,0.0327545131018052,0,0,0,0.0104950187867557,0.119457295799696,0,0,0.000425760415402946,0,0.064840668262041,0,0,0,0,0.0420932091001307,0.0447805490816812,0,0.117160205659308,0,0.0673539865292027,0,0,0,0,0.00291190029119003,0.20542392757957,0,0,0,0.0510680685489462,0,0,0.00128646935000281,0,0.0209529979047002,0.0098348,0.0604599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83975451236321e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00203492294388391,0.0215674584256261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262924",0.11631198226753,0,0.0637816127947276,0,0.00285530057106011,0.0391058078211616,0.000153799984620002,0.122758963172311,0.00555424528657391,0.046461520422431,0.0158326483756377,0,0,0.25280680112272,0,0,0,0.281951262153731,0.00198355333744871,0,0,0.135555635344655,0,0.0157213966631778,0,0.00354079929184014,0.00282580056516011,0.0153726984627302,0.000129047767287548,0,0,0.12261225510434,0,0.00075589984882003,0.0008829,0,0,0,0,0.00992298775298646,0,0,0.0523313104662621,0.0169324524649821,0,0.015055042618253,0,0,0,0.023712,0,0,0,0,0.00709622697023216,0,0,0.00182892673314298,0,0,0,0,0,0,0,0,0.00889779375423232,0.00229555547271728,0,0,0,0,0,0,0,0,0,0,0,0,0.00419275262919757,0.00989202613848096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262869",0,0.0340654286897303,0,0,0,0.0379204075840815,0,0,0,0.0144546682409916,0,0,0.0766749325678763,0,0,0.0549087263726577,0,0,0,0,0,0,0.0733300433904906,0,0.0299828059965612,0.0646040870791826,0.0376630075326015,0,0,0,0,0,0,0.0157224968555006,0,0,0.194635657916238,0.0119616,0,0,0,0,0,0,0,0,0.0036015738988996,0,0,0,0.0150998,0.194540038908008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00796894636611703,0,0,0,0,0,0,0,0.0166781446745732,0,0,0,0,0.0118011817089637,0,0,0,0,0,0,0
"204516",0,0,0,0,0,0.0330673066134613,0,0,0,0.00153827787604652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00396986435238419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339360067872014,0.00475058383118669,0.00123243248725302,0.00117318433514811,0.00384212834727417,0.000799921769412541,0.00246531470201456,0.00361062713719033,0.00385235188848978,0,0.0177427441674732,0,0.0132954422604914,0,0.000463778182093791,0.00379103894220767,0.00140581228072074,0.00204802372319178,0.00070918873920593,0,0.00121639513285819,0.00104234720585427,0.000940651247948327,0,0.000341323674454579,0.00525468916951292,0.0140772444232836,0,0,0,0.000186894961329852,0,0,0.000248990833373635,0.0112882711115816,0.0016618180711983,0.000622347484291537,0,0,0,0.000110967845740886,0,0,0,0.000501104250092338,0.00107902875409587,0
"28125",0,0,0,0,0,0.025455405091081,0,0,0,0.00110814330407142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11512143405444e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51178433762195e-05,0,0.000130310425054191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28118",0.0818408687830228,0,0.0548472343502108,8.60181007414443e-05,0.00900510180102036,0.024189804837961,0.142940685705931,0.0838276748516976,0.0689668201372945,0.00249301866680761,0.0282885944868098,0.00254339099771401,0.00590692602870089,0.00772210308884123,0.0236556952688609,0,0,0.00347420207922033,0.0926733149764488,0,0.0142248028449606,0.00364381705764048,0,0.000285608611815922,0.000924500184900037,0,0.000193400038680008,0.000661499933850007,0,0.00532458725946205,0.00119119988088001,0,8.56000085600009e-05,0,0,0.007764,0.00120945007123295,0.0006779,0,0,0.000216499956700009,0.00114779977044005,0.00446070089214018,0,0,0,0.000818525879014851,0.000258399974160003,0,0.0002291,0.0010257,0.000947200189440038,0.0152715653927991,0.00294578950170763,0.000495449163147882,0.00175539718347034,0.000955261932842003,0.00648578810334147,0.00199223568148112,0.00476634380822497,0.00479592227593585,0,0.00504956641583467,0.00328537223074182,0.00472562538735355,0.00240952114752317,0.00786067181364948,0.00406472047493588,0.013363820390302,0.000875742927283951,0.00215098878875427,0.00275225161704791,0.000628809456429937,0,0.00392654859570428,0.00399236461144919,0.00958667516209556,0.00176508419498642,0.00614285715715416,0.00211077733167807,0.00578272712529746,0.00176099476143829,0.00230768261125587,0.00456977242515307,0.0026090920808774,0.00515764293624834,0.000260175045770795,0.00929022932482912,0.00197637279747223,0.000806638073317061,0.00141090319415197,0.00219594259930522,0.00553061840313824,0.00368851773936804,0.00222412094065174,0.00347181511183959,0.00284820381920967,0.00414906751023236
"281920",0,0,0,0,0.000896400179280036,0.0217207043441409,0,0,0.00701586233848478,0.000950285536249115,0,0,0,0,0,0,0,0,0.00208293136324412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60183008986866e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262803",0,0,0,0,0.227519145503829,0.0203725040745008,0,0,0,0.000888519507787532,0.0104109236143245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00842255830243898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271737137078033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33033",0,0,0.00073639713078155,0,0.0729352145870429,0.0153036030607206,0,0,0,0.000510835432112604,0,0,0,0,0,0,0,0,0,0,0,0.00183806082083048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212202781875895,0.000195123083060726,0,0,0,0.00177973321916139,0.000180880156636009,1.10475164731025e-05,0,0,0.000314551625146654,3.23414326093158e-05,0,0,0.000720989841789568,0,0,0,0.00212250012476453,0.00340165219090297,0,0,0.0006556369760367,0.000672330927853743,2.72138273456743e-05,0,0,0,5.25748508151055e-05,0,0,0,0,0,0,0,0,0,0,0,0
"817",0.0772285465564837,0,0.0402934147013991,0,0.00905560181112036,0.0151180030236006,0.122517987748201,0.0769898769030369,0.0486034648514009,0.0207887238318348,0,0.00337496205152689,0.00789577949890675,0.00655110262044105,0,0.00232035962096458,0.0004738,0.00638630674695925,0.0666868628461025,0.000120000024000005,0,0.00137559519695845,0,0,0.105555021111004,0,0.0025216005043201,0,0,0.000219865541918046,0,0,0.00166510016651002,0,0,9.34e-05,0,0.1192148,0,0,0,0,0,0,0,0,0.0353970170679805,0,0,0,0,0,0.000995372823567287,0.00153993210059659,0,0,0,0.0359473555991323,0,0,0,0,0.0267690571217001,0,0.000128753782895612,0.00115302915526604,5.22363617314012e-05,0,9.3219423403322e-05,0,0.0102407484760371,0,0,0,0,0,0.013196763892205,0.000851971587738214,0.000397614393701099,0.0045189321455916,0.000680945418288102,0,0.000200285281472851,0.00687532615138068,0,0.00183070637666846,0,0,0,0.000386918262541992,0,0,0.00897157191304689,0.00765399961943706,0.00649583734932951,0,0,0
"1261",0,0,0,0,0,0.0136325027265005,0,0,0,0.000508304037503522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114006175192529,0,0,0,0,0,0,0.000802500439273931,0,0,0,0,0,0,8.42428037685948e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"329854",0.00345419153607571,0,0.0027132578787142,0,0.00024430004886001,0.0104865020973004,0.00595179940482006,0.0033168990049303,0.0468648992539372,0.000458992470518619,0.0192008501309228,0,0,0,0.0272865945426811,0,0,0,0.0273018084596747,0,0.00140280028056006,0,0,0,0,0,0,0,0,0,0,4.27780656920815e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00458250135177179,0,0,0,0,0,0,0,0,0,0,0.000745142161592947,0,1.14290343187834e-05,0,0,0,0,0,0,0,0.00165684254264314,0,0,0.00364372372078098,0,0,0.00257221475597113,0,0,0,0,0,0,0,0,0,0,0,4.70287533798164e-06,0,0,0,0,1.78037744001728e-05,0.000569228773043886
