"","GupDM_JM","GupDM_A13","GupDM_JI","GupDM_A7","GupDM_A2","GupDM_A_11","GupDM_JC","GupDM_JN","GupDM_JJ","GupDM_A1","GupDM_JE","GupDM_A12","GupDM_JL","GupDM_A14","GupDM_A3","GupDM_A10","GupDM_A_15","GupDM_JH","GupDM_JD","GupDM_A9","GupDM_A6","GupDM_JB","GupDM_JA","GupDM_HAK","GupDM_HAJ","GupDM_HAI","GupDM_HAH","GupDM_HAG","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HDF","GupDM_HDB","GupDM_HCY","GupDM_HCL","GupDM_HCU","GupDM_HCV","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HP","GupDM_HS","GupDM_HR","GupDM_HBR","CRC_MR_SBJ01C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ03H_17","CRC_MR_SBJ05C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ12C_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ17H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ26C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ29C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ33C_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ39C_17","CRC_MR_SBJ40C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ47C_17","CRC_MR_SBJ50C_17","CRC_MR_SBJ51C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ61C_17","CRC_MR_SBJ63H_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ69H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ77H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ81H_17","CRC_MR_SBJ83H_17","CRC_MR_SBJ84H_17"
"562",1.37096118950248,17.2954391571649,4.4841020502126,7.0152614901281,5.69726186929556,35.496655201365,1.69556915743574,1.80024645884679,5.11028356309076,33.3293611028356,1.56982097879371,1.74602551255315,0.21524524009425,7.1395200823335,0,46.2453213444195,77.6379357040327,0.973742653630528,6.50086666847223,0.391084148091975,0,2.16898681038919,0,0.381794545405303,0,0.0315656907618558,0.115605449178019,1.1735232781735,4.5805460011375,13.1192075400157,0.405059177206619,0.213755653657612,0.317051702191046,0.0183083714757739,6.0709584811635,0.285445386344555,0,13.3128402350838,0,8.21154835739241,0.0902960214500447,0.0905397719578582,6.51703545215719,0,0.254407821682962,2.3622403380007,1.43815507948975,0,0.580952251983858,0.357338244454676,0.0678438913414403,0,4.85859762207838,0.536833410069604,0.295506865639303,0,5.16927118598164,0.273190152479484,0.46607805432928,0.00778647455515532,0.2966443680091,0,1.02547192806652,0.0739647374265363,0.227730682772256,0.156880535167782,1.96053950112396,0.00605313761070336,0.317701703545216,0.625694011862525,0,0.00189583728299434,2.52422609213769,0.26834222571297,0.328210058770956,0.284551634482572,3.62467838474664,0.334682988922894,0.00838230912981069,0.220675459740541,2.58406684180592,0.0154916989410395,0,16.7024347967392,1.02474067654308,0.201175419115456,0,0.338461121794004,1.55944804051675,0,0.518376079950167,0.124989843728841,0,0,0,0.244441134252363,0.255829699645208,0
"28117",0.163854508030225,0,0.117866912222734,0.109552311567316,0.41620399209165,20.9822874630989,0.421417544619885,0.263846383013298,0.170002437505078,1.1015491698941,0.243100506459388,0,0,0,0,0,0,0,0.238022370879939,0,36.9237873412236,0,0,0,6.09100018958373,0,0,0,0,9.99531457357203,4.70634834655906,0,0,0,0,14.2799068331392,0.14749614061696,6.51153752403651,0,0,0.107913766487014,15.8453673861821,0,0,0,0.208867101806462,0,0.00526771930774856,0,0,1.25511198981665,0.249505728136934,10.8497955204073,4.74903176881618,0.0513094818947539,0.00575522032337567,1.73242965089511,0.00975002031254232,0.781396419575874,4.27266202637922,0,7.53788966227013,0,4.52841047585516,0.0121875253906779,1.4452509276061,5.29890583105381,9.85163719091081,8.34339029872979,0.383040381334128,3.05156677409745,1.58968664518051,1.67963058256371,1.35806949597812,0,2.29435582157463,6.81400482084338,3.27530265688054,0,0.630541938629039,0.176664951385315,0.754448446767597,3.48873330986106,1.84366113262736,3.48702705630637,0,0.299488123933592,0,1.42912276900577,0.0148146141971129,1.20824418384205,3.13334506946889,7.7719172331609,5.91047585515803,0.996546867805975,0,0.424234217154619,2.89123310673564
"28123",0,0,0,0,1.05625220052542,10.0718793164152,0,0,0,0.453931154023238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00486146846139263,0,0.00635105489803104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"820",2.50889689353519,0,1.95399886249763,0.494136446117596,5.23077756411992,9.91568940768627,0.708041058418872,2.76134116946077,4.53611570024104,1.45433740486959,0,0.363364298675622,0,5.41642065920971,2.07124285675595,0,0,5.35323511090648,2.55148552392817,0.184248300517293,13.7235056739702,2.98793434986323,0,0,0.899195623324215,0,0,0,0,0.482341629878396,8.49794166237846,2.87411640440918,0,0,0,33.7778755789075,0.805405844595509,3.62884922676922,0,0,0.323362132004442,43.578487663516,0.992051025106302,0,0,0.0433198819164207,5.38226850472605,0.296102700213959,0,0,0,0.711886899764374,1.62773880778918,1.80747772391192,0.466227012972944,8.93084256425534,2.88977060368876,16.1673618070038,1.44181133710695,5.55485740595293,0.00108333559028248,12.2265525553178,2.72062129296103,7.07060639709666,5.35930179021206,1.53205319177748,1.67210140021125,4.57533244860927,13.2581859545541,1.88364975760366,5.14165967012431,7.5359531999025,0.216179617040869,0.521951087398099,15.6572867860141,0.877312244400509,7.51654795114156,19.3266663055548,2.67007014597947,2.9323186089971,10.8113912737318,1.09033664653468,0.929786312054817,6.89089456436368,30.3580153291986,0.65994095821033,1.16717222327547,3.13566069929312,7.66017116702326,20.9100966877014,3.65601386669556,5.93047693849362,1.1732659859708,11.4369092435609,9.69800666251388,28.0281802670422,0.575657449286353,7.68346288221434
"363265",2.55009072935569,0,1.48058120954419,0,0.966064512634401,8.71222544213634,2.78510684397259,2.32189962895756,31.710140021125,1.15270969314519,46.9987135389865,0.059651165939929,0.504468759309915,4.43551444898844,0,0,0,1.42095712699401,16.1475638490914,0,0,0.0576469950979064,0,8.76488909351895,0,0,0,0,5.66710451480107,6.06223762966173,0,15.8365246594264,0,9.12087316848577,0,0,0,0,0.394320613167944,27.8008152100317,0,0,0,6.9126425263386,0,0,0.174119112748152,0,2.8373913278986,1.33179860791377,8.18729518186496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00518646913847737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275099531457357,2.91911545649053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262924",15.7501963545757,0,8.63597215827533,0,0.386656013866696,5.29558811580857,0.0208271267231807,16.6236492159359,0.748476559326165,6.21364732009858,2.14388050808439,0,0,34.2343119464832,0,0,0,38.174362863256,0.268125558594914,0,0,18.3539257373453,0,2.12515234406738,0,0.479484332259026,0.382661213877529,2.08172412859193,0.0173739945291553,0,0,16.5734772364109,0,0.102361671586816,0.11955962408255,0,0,0,0,1.34291633940904,0,0,7.08654497196869,2.29199956666576,0,2.03864799718333,0,0,0,3.21100668959727,0,0,0,0,0.958914497738537,0,0,0.247244265092219,0,0,0,0,0,0,0,0,1.20407334181946,0.310213146277388,0,0,0,0,0,0,0,0,0,0,0,0,0.566814722530672,1.33886737264036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262869",0,4.22693172277442,0,0,0,5.13506486471847,0,0,0,1.93313111068981,0,0,9.97664057633453,0,0,7.37641849253853,0,0,0,0,0,0,9.56407930016521,0,4.06017929204019,8.74849010102104,5.10020854210113,0,0,0,0,0,0,2.12909297727704,0,0,26.3558757414078,1.61980337459036,0,0,0,0,0,0,0,0,0.48746039054248,0,0,0,2.04476884326842,26.3440132166942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07840641334669,0,0,0,0,0,0,0,2.25528803185007,0,0,0,0,1.59728353600737,0,0,0,0,0,0,0
"204516",0,0,0,0,0,4.47787287056848,0,0,0,0.205725428594643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537564661593045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459550957397828,0.642228421309211,0.164558676163909,0.158532621942962,0.518037537578203,0.10822522546922,0.333274652655526,0.488882268504726,0.521450044687593,0,2.40130812772527,0,1.79863499715624,0,0.0626438805080844,0.513013568778268,0.189976437450911,0.276981827045473,0.0954283238090079,0,0.164585759553666,0.141104460634293,0.127346098637705,0,0.0461230127562766,0.708718143162798,1.90501855212198,0,0,0,0.0252958860330959,0,0,0.0333261110960648,1.52644693009777,0.224886926847764,0.0841210085854346,0,0,0,0.0150177396202909,0,0,0,0.0678303496465618,0.146087804349592,0
"28125",0,0,0,0,0,3.44709259810958,0,0,0,0.148200308750643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010941689461853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00475313490236438,0,0.0176312867318474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28118",11.0823470465563,0,7.4262654713864,0.0110364813260028,1.21944316550659,3.27570890772689,19.3565934512364,11.3516913576903,9.29380061208461,0.333410069604312,3.83052568859518,0.331839232998402,0.768585976220784,1.04570322021504,3.20338271538066,0,0,0.470384313300653,12.5270563063673,0,1.92627901308128,0.49336456950952,0,0.0386073720986919,0.125192969152019,0,0.0261896378950789,0.0895783116214825,0,0.720824418384205,0.161308669393061,0,0.0115916908160225,0,0,1.05137719036915,0.163773257860954,0.0917991495815616,0,0,0.0293177694120196,0.155431573815779,0.604054383446632,0,0,0,0.110784605801262,0.0349917395661241,0,0.0310240229667145,0.138897164369092,0.128266933889446,2.06455325948596,0.393332069441811,0.0669501394794572,0.236681743086965,0.1292419359207,0.876784118300246,0.269750561980337,0.645166969097852,0.649378436205075,0,0.683246215096281,0.444451967608266,0.637177369119519,0.325461094710614,1.06372721609837,0.549291769357853,1.8073693903529,0.117839828832977,0.280746418221705,0.372396609159602,0.0851230940064458,0,0.531389648728435,0.539487582265796,1.2929881103919,0.238861955962408,0.831189231644233,0.284511009397936,0.781762045337595,0.238347371557024,0.312366275763074,0.618300246458847,0.349213227527557,0.697437911328982,0.0352084066841806,1.25573490778106,0.26742139046123,0.109227310890231,0.190964981177044,0.297186035804241,0.748557809495436,0.499011456273867,0.301140210708772,0.46995097906454,0.385613303361049,0.561628253392195
